Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.498904, 0.491529, 0.495217, 0.265367, 0.504783, 0.007299, 0.502399, 4982.000000, 22768.000000, 22868.000000, 4816.000000, "protected_div(sin(Dim[i][121]), Dim[i][55])"
1, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
2, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
3, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
4, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
5, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
6, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
7, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
8, 0.504624, 0.339559, 0.422091, 0.329330, 0.577909, 0.119122, 0.524552, 6471.000000, 23029.000000, 22607.000000, 3327.000000, "sin(protected_div(sin(Dim[i][23]), Dim[i][71]))"
9, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
10, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
11, 0.377750, 0.504185, 0.440967, 0.304625, 0.559033, 0.091985, 0.599903, 4858.000000, 17239.000000, 28397.000000, 4940.000000, "(Dim[i][11]-Dim[i][71])"
12, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
13, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
14, 0.423898, 0.321800, 0.372849, 0.371354, 0.627151, 0.194388, 0.594148, 6645.000000, 19345.000000, 26291.000000, 3153.000000, "sin((Dim[i][25]-Dim[i][52]))"
