Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.497037, 0.447757, 0.472397, 0.227133, 0.527603, 0.037199, 0.509396, 3890.000000, 23319.000000, 23597.000000, 3154.000000, "Dim[i][121]"
1, 0.497037, 0.447757, 0.472397, 0.227133, 0.527603, 0.037199, 0.509396, 3890.000000, 23319.000000, 23597.000000, 3154.000000, "Dim[i][121]"
2, 0.488938, 0.454855, 0.471896, 0.227064, 0.528104, 0.037873, 0.515511, 3840.000000, 22939.000000, 23977.000000, 3204.000000, "protected_div(Dim[i][121], Dim[i][103])"
3, 0.662716, 0.132879, 0.397798, 0.276105, 0.602202, 0.148817, 0.406449, 6108.000000, 31092.000000, 15824.000000, 936.000000, "sin(ifLessThan(Dim[i][24], Dim[i][101], Dim[i][11], ifLessThan(tanh(Dim[i][12]), Dim[i][58], Dim[i][52], Dim[i][52])))"
4, 0.488938, 0.454855, 0.471896, 0.227064, 0.528104, 0.037873, 0.515511, 3840.000000, 22939.000000, 23977.000000, 3204.000000, "(protected_div(Dim[i][121], Dim[i][103]))"
5, 0.444646, 0.459114, 0.451880, 0.240265, 0.548120, 0.065085, 0.553466, 3810.000000, 20861.000000, 26055.000000, 3234.000000, "(protected_div(Dim[i][121], Dim[i][105]))"
6, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "protected_div(Dim[i][121], Dim[i][15])"
7, 0.662716, 0.132879, 0.397798, 0.276105, 0.602202, 0.148817, 0.406449, 6108.000000, 31092.000000, 15824.000000, 936.000000, "sin(ifLessThan(Dim[i][24], Dim[i][101], Dim[i][11], ifLessThan(protected_sqrt(Dim[i][12]), Dim[i][58], Dim[i][52], Dim[i][52])))"
8, 0.444646, 0.459114, 0.451880, 0.240265, 0.548120, 0.065085, 0.553466, 3810.000000, 20861.000000, 26055.000000, 3234.000000, "(protected_div(Dim[i][121], Dim[i][105]))"
9, 0.409498, 0.465928, 0.437713, 0.250650, 0.562287, 0.084878, 0.583136, 3762.000000, 19212.000000, 27704.000000, 3282.000000, "protected_log(protected_log(((Dim[i][113])-ifLessThan(Dim[i][121], Dim[i][103], Dim[i][91], Dim[i][12]))))"
10, 0.416830, 0.460250, 0.438540, 0.250115, 0.561460, 0.083580, 0.577502, 3802.000000, 19556.000000, 27360.000000, 3242.000000, "protected_div(Dim[i][121], ((Dim[i][113])-Dim[i][12]))"
11, 0.416830, 0.460250, 0.438540, 0.250115, 0.561460, 0.083580, 0.577502, 3802.000000, 19556.000000, 27360.000000, 3242.000000, "protected_div(Dim[i][121], ((Dim[i][113])-Dim[i][12]))"
12, 0.462380, 0.366695, 0.414537, 0.268751, 0.585463, 0.115223, 0.550111, 4461.000000, 21693.000000, 25223.000000, 2583.000000, "protected_log(protected_log((Dim[i][10]*Dim[i][27])))"
13, 0.462380, 0.366695, 0.414537, 0.268751, 0.585463, 0.115223, 0.550111, 4461.000000, 21693.000000, 25223.000000, 2583.000000, "protected_log(protected_log((Dim[i][10]*Dim[i][27])))"
14, 0.462380, 0.366695, 0.414537, 0.268751, 0.585463, 0.115223, 0.550111, 4461.000000, 21693.000000, 25223.000000, 2583.000000, "(protected_log(protected_log((Dim[i][10]*Dim[i][27])))*ifLessThan(Dim[i][105], Dim[i][71], Dim[i][95], Dim[i][54]))"
15, 0.639995, 0.119108, 0.379552, 0.286771, 0.620448, 0.172790, 0.428002, 6205.000000, 30026.000000, 16890.000000, 839.000000, "protected_div(protected_log(Dim[i][10]), (sin(Dim[i][82])))"
16, 0.462380, 0.366695, 0.414537, 0.268751, 0.585463, 0.115223, 0.550111, 4461.000000, 21693.000000, 25223.000000, 2583.000000, "((protected_log(protected_log((Dim[i][10]*Dim[i][27]))))*ifLessThan(Dim[i][105], Dim[i][71], Dim[i][95], Dim[i][54]))"
17, 0.462380, 0.366695, 0.414537, 0.268751, 0.585463, 0.115223, 0.550111, 4461.000000, 21693.000000, 25223.000000, 2583.000000, "protected_log(protected_log((Dim[i][10]*Dim[i][27])))"
18, 0.321148, 0.421635, 0.371392, 0.311171, 0.628608, 0.181125, 0.665734, 4074.000000, 15067.000000, 31849.000000, 2970.000000, "protected_log(protected_log((Dim[i][10]*Dim[i][92])))"
