Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.538382, 0.438345, 0.488364, 0.279930, 0.511636, 0.017951, 0.479633, 5607.000000, 24470.000000, 20981.000000, 4376.000000, "ifLessThan(Dim[i][58], ifLessThan(Dim[i][112], Dim[i][52], Dim[i][11], protected_abs(Dim[i][59])), Dim[i][26], Dim[i][9])"
1, 0.486810, 0.491435, 0.489123, 0.273060, 0.510877, 0.016722, 0.512357, 5077.000000, 22126.000000, 23325.000000, 4906.000000, "protected_div(Dim[i][121], (Dim[i][88]))"
2, 0.495985, 0.485425, 0.490705, 0.272788, 0.509295, 0.014287, 0.505917, 5137.000000, 22543.000000, 22908.000000, 4846.000000, "protected_div(Dim[i][121], tanh(Dim[i][113]))"
3, 0.503135, 0.402484, 0.452810, 0.307347, 0.547190, 0.072592, 0.514991, 5965.000000, 22868.000000, 22583.000000, 4018.000000, "sin(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
4, 0.503135, 0.402484, 0.452810, 0.307347, 0.547190, 0.072592, 0.514991, 5965.000000, 22868.000000, 22583.000000, 4018.000000, "((sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83])))))"
5, 0.503135, 0.402484, 0.452810, 0.307347, 0.547190, 0.072592, 0.514991, 5965.000000, 22868.000000, 22583.000000, 4018.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
6, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
7, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "(protected_log(protected_div(Dim[i][110], Dim[i][46])))"
8, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
9, 0.503135, 0.402484, 0.452810, 0.307347, 0.547190, 0.072592, 0.514991, 5965.000000, 22868.000000, 22583.000000, 4018.000000, "sin(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
10, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
11, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
12, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
13, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
14, 0.476975, 0.300511, 0.388743, 0.361392, 0.611257, 0.171106, 0.554804, 6983.000000, 21679.000000, 23772.000000, 3000.000000, "protected_div(Dim[i][0], protected_log(protected_div(Dim[i][110], Dim[i][46])))"
15, 0.510022, 0.282881, 0.396451, 0.355083, 0.603549, 0.159876, 0.530884, 7159.000000, 23181.000000, 22270.000000, 2824.000000, "protected_log(protected_div(Dim[i][110], Dim[i][46]))"
16, 0.434028, 0.329861, 0.381944, 0.367582, 0.618056, 0.181657, 0.584731, 6690.000000, 19727.000000, 25724.000000, 3293.000000, "protected_log((protected_log(protected_div(Dim[i][110], Dim[i][46]))*Dim[i][8]))"
17, 0.482146, 0.292898, 0.387522, 0.362409, 0.612478, 0.173062, 0.551936, 7059.000000, 21914.000000, 23537.000000, 2924.000000, "protected_log((protected_log(protected_div(Dim[i][110], Dim[i][46]))*Dim[i][31]))"
18, 0.476975, 0.300511, 0.388743, 0.361392, 0.611257, 0.171106, 0.554804, 6983.000000, 21679.000000, 23772.000000, 3000.000000, "protected_div(Dim[i][0], protected_log(protected_div(Dim[i][110], Dim[i][46])))"
19, 0.476975, 0.300511, 0.388743, 0.361392, 0.611257, 0.171106, 0.554804, 6983.000000, 21679.000000, 23772.000000, 3000.000000, "protected_div(Dim[i][0], protected_log(protected_div(Dim[i][110], Dim[i][46])))"
20, 0.437680, 0.338275, 0.387978, 0.362151, 0.612022, 0.172350, 0.580222, 6606.000000, 19893.000000, 25558.000000, 3377.000000, "(protected_log(protected_div(Dim[i][110], Dim[i][46]))-Dim[i][109])"
21, 0.468461, 0.304718, 0.386589, 0.363251, 0.613411, 0.174347, 0.561028, 6941.000000, 21292.000000, 24159.000000, 3042.000000, "protected_div(Dim[i][0], protected_log(protected_div(protected_log((Dim[i][50]-Dim[i][16])), protected_log(protected_div(Dim[i][110], Dim[i][46])))))"
22, 0.468461, 0.304718, 0.386589, 0.363251, 0.613411, 0.174347, 0.561028, 6941.000000, 21292.000000, 24159.000000, 3042.000000, "protected_div(Dim[i][0], protected_log(protected_div(protected_log((Dim[i][50]-Dim[i][16])), protected_log(protected_div(Dim[i][110], Dim[i][46])))))"
23, 0.434028, 0.329861, 0.381944, 0.367582, 0.618056, 0.181657, 0.584731, 6690.000000, 19727.000000, 25724.000000, 3293.000000, "protected_log((protected_log(protected_div(Dim[i][110], Dim[i][46]))*Dim[i][8]))"
24, 0.430090, 0.325654, 0.377872, 0.371288, 0.622128, 0.187969, 0.588718, 6732.000000, 19548.000000, 25903.000000, 3251.000000, "protected_log(((Dim[i][50]-Dim[i][91])-Dim[i][61]))"
25, 0.377857, 0.377141, 0.377499, 0.372614, 0.622501, 0.190624, 0.622272, 6218.000000, 17174.000000, 28277.000000, 3765.000000, "protected_log(protected_log(protected_div(Dim[i][110], Dim[i][61])))"
26, 0.441618, 0.321146, 0.381382, 0.367995, 0.618618, 0.182410, 0.580077, 6777.000000, 20072.000000, 25379.000000, 3206.000000, "((Dim[i][50]-Dim[i][91])-Dim[i][61])"
27, 0.430090, 0.325654, 0.377872, 0.371288, 0.622128, 0.187969, 0.588718, 6732.000000, 19548.000000, 25903.000000, 3251.000000, "protected_log(((Dim[i][50]-Dim[i][91])-Dim[i][61]))"
28, 0.377857, 0.377141, 0.377499, 0.372614, 0.622501, 0.190624, 0.622272, 6218.000000, 17174.000000, 28277.000000, 3765.000000, "protected_log(protected_log(protected_div(Dim[i][110], Dim[i][61])))"
29, 0.396999, 0.331764, 0.364381, 0.384518, 0.635619, 0.209685, 0.614749, 6671.000000, 18044.000000, 27407.000000, 3312.000000, "protected_log((protected_div((Dim[i][74]+(Dim[i][50]-Dim[i][31])), Dim[i][38])-Dim[i][55]))"
