Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.496139, 0.485425, 0.490782, 0.272737, 0.509218, 0.014169, 0.505791, 5137.000000, 22550.000000, 22901.000000, 4846.000000, "protected_div((Dim[i][82]), Dim[i][121])"
1, 0.496139, 0.485425, 0.490782, 0.272737, 0.509218, 0.014169, 0.505791, 5137.000000, 22550.000000, 22901.000000, 4846.000000, "protected_div((Dim[i][82]), Dim[i][121])"
2, 0.458978, 0.511469, 0.485224, 0.273061, 0.514776, 0.022770, 0.531569, 4877.000000, 20861.000000, 24590.000000, 5106.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][100]), Dim[i][105]))"
3, 0.458978, 0.511469, 0.485224, 0.273061, 0.514776, 0.022770, 0.531569, 4877.000000, 20861.000000, 24590.000000, 5106.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][100]), Dim[i][105]))"
4, 0.458978, 0.511469, 0.485224, 0.273061, 0.514776, 0.022770, 0.531569, 4877.000000, 20861.000000, 24590.000000, 5106.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][100]), Dim[i][105]))"
5, 0.458978, 0.511469, 0.485224, 0.273061, 0.514776, 0.022770, 0.531569, 4877.000000, 20861.000000, 24590.000000, 5106.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][100]), Dim[i][105]))"
6, 0.638028, 0.238005, 0.438016, 0.326558, 0.561984, 0.100585, 0.434012, 7607.000000, 28999.000000, 16452.000000, 2376.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][116]), protected_abs(Dim[i][47])))"
7, 0.462058, 0.507262, 0.484660, 0.274016, 0.515340, 0.023628, 0.529801, 4919.000000, 21001.000000, 24450.000000, 5064.000000, "sin(protected_div(Dim[i][55], protected_abs(Dim[i][105])))"
8, 0.458978, 0.511469, 0.485224, 0.273061, 0.514776, 0.022770, 0.531569, 4877.000000, 20861.000000, 24590.000000, 5106.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][100]), Dim[i][105]))"
9, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
10, 0.673143, 0.237103, 0.455123, 0.316056, 0.544877, 0.074526, 0.405383, 7616.000000, 30595.000000, 14856.000000, 2367.000000, "sin(protected_div(protected_div(Dim[i][97], Dim[i][33]), Dim[i][103]))"
11, 0.673143, 0.237103, 0.455123, 0.316056, 0.544877, 0.074526, 0.405383, 7616.000000, 30595.000000, 14856.000000, 2367.000000, "sin(protected_div(protected_div(Dim[i][97], Dim[i][33]), Dim[i][103]))"
12, 0.402103, 0.548633, 0.475368, 0.275050, 0.524632, 0.038475, 0.571508, 4506.000000, 18276.000000, 27175.000000, 5477.000000, "protected_div(Dim[i][30], ifLessThan(Dim[i][15], Dim[i][105], (Dim[i][103]), protected_div(protected_div(Dim[i][105], Dim[i][26]), Dim[i][118])))"
13, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
14, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
15, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
16, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
17, 0.598733, 0.203346, 0.401039, 0.352300, 0.598961, 0.157917, 0.472472, 7953.000000, 27213.000000, 18238.000000, 2030.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][116]), (sin(Dim[i][72]))))"
18, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
19, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
20, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
21, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
22, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
23, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
24, 0.323139, 0.396775, 0.359957, 0.392415, 0.640043, 0.222481, 0.663600, 6022.000000, 14687.000000, 30764.000000, 3961.000000, "(Dim[i][107]*sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][3])))"
25, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
26, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
27, 0.321973, 0.398477, 0.360225, 0.392202, 0.639775, 0.222207, 0.664249, 6005.000000, 14634.000000, 30817.000000, 3978.000000, "sin(protected_div(protected_div(Dim[i][92], Dim[i][30]), Dim[i][18]))"
