Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.663590, 0.133731, 0.398661, 0.275616, 0.601339, 0.147645, 0.405578, 6102.000000, 31133.000000, 15783.000000, 942.000000, "sin((Dim[i][112]))"
1, 0.496781, 0.447757, 0.472269, 0.227213, 0.527731, 0.037371, 0.509618, 3890.000000, 23307.000000, 23609.000000, 3154.000000, "tanh(protected_div(Dim[i][5], Dim[i][121]))"
2, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
3, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][105]))"
4, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
5, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
6, 0.374904, 0.410420, 0.392662, 0.288543, 0.607338, 0.147453, 0.620460, 4153.000000, 17589.000000, 29327.000000, 2891.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][0]))"
7, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
8, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
9, 0.443026, 0.331204, 0.387115, 0.289551, 0.612885, 0.152354, 0.571572, 4711.000000, 20785.000000, 26131.000000, 2333.000000, "ifLessThan(ifLessThan(Dim[i][75], (Dim[i][103]), Dim[i][16], Dim[i][107]), Dim[i][3], Dim[i][90], Dim[i][41])"
10, 0.366762, 0.412550, 0.389656, 0.291521, 0.610344, 0.152052, 0.627261, 4138.000000, 17207.000000, 29709.000000, 2906.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))"
11, 0.366421, 0.410846, 0.388633, 0.292408, 0.611367, 0.153466, 0.627780, 4150.000000, 17191.000000, 29725.000000, 2894.000000, "sin(ifLessThan(Dim[i][68], Dim[i][105], Dim[i][90], (ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][45]))))"
12, 0.370876, 0.406303, 0.388589, 0.292182, 0.611411, 0.153234, 0.624500, 4182.000000, 17400.000000, 29516.000000, 2862.000000, "(Dim[i][30]+ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][79], Dim[i][87], Dim[i][75], Dim[i][20])))"
13, 0.368957, 0.406871, 0.387914, 0.292864, 0.612086, 0.154276, 0.626093, 4178.000000, 17310.000000, 29606.000000, 2866.000000, "(Dim[i][15]+ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][79], Dim[i][87], Dim[i][75], Dim[i][20])))"
14, 0.371792, 0.398211, 0.385002, 0.295133, 0.614998, 0.158048, 0.624759, 4239.000000, 17443.000000, 29473.000000, 2805.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][10], (Dim[i][90])))"
15, 0.367039, 0.411982, 0.389510, 0.291629, 0.610490, 0.152232, 0.627094, 4142.000000, 17220.000000, 29696.000000, 2902.000000, "(Dim[i][15]*ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], Dim[i][108]))"
16, 0.367188, 0.406729, 0.386959, 0.293779, 0.613041, 0.155692, 0.627650, 4179.000000, 17227.000000, 29689.000000, 2865.000000, "(ifLessThan(Dim[i][108], Dim[i][106], (Dim[i][30]-protected_div(protected_div(protected_sqrt(Dim[i][3]), Dim[i][91]), Dim[i][122])), Dim[i][75]))"
17, 0.278327, 0.461386, 0.369856, 0.317543, 0.630144, 0.189218, 0.697776, 3794.000000, 13058.000000, 33858.000000, 3250.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], Dim[i][75])))"
18, 0.278327, 0.461386, 0.369856, 0.317543, 0.630144, 0.189218, 0.697776, 3794.000000, 13058.000000, 33858.000000, 3250.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], Dim[i][75])))"
19, 0.278327, 0.461386, 0.369856, 0.317543, 0.630144, 0.189218, 0.697776, 3794.000000, 13058.000000, 33858.000000, 3250.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], Dim[i][75])))"
20, 0.371451, 0.398069, 0.384760, 0.295357, 0.615240, 0.158398, 0.625074, 4240.000000, 17427.000000, 29489.000000, 2804.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], (ifLessThan(sin(Dim[i][0]), Dim[i][106], Dim[i][70], Dim[i][34])), Dim[i][30]))"
21, 0.367188, 0.406729, 0.386959, 0.293779, 0.613041, 0.155692, 0.627650, 4179.000000, 17227.000000, 29689.000000, 2865.000000, "(ifLessThan(Dim[i][108], Dim[i][106], (Dim[i][30]-protected_div(protected_div(protected_sqrt(Dim[i][3]), Dim[i][91]), Dim[i][122])), Dim[i][75]))"
22, 0.278327, 0.461386, 0.369856, 0.317543, 0.630144, 0.189218, 0.697776, 3794.000000, 13058.000000, 33858.000000, 3250.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], Dim[i][75])))"
23, 0.248636, 0.473311, 0.360973, 0.330969, 0.639027, 0.207530, 0.722035, 3710.000000, 11665.000000, 35251.000000, 3334.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log(Dim[i][70]), Dim[i][15], Dim[i][30], Dim[i][117]))))"
24, 0.179896, 0.491340, 0.335618, 0.375833, 0.664382, 0.266164, 0.779448, 3583.000000, 8440.000000, 38476.000000, 3461.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log((protected_div(Dim[i][80], Dim[i][71]))), Dim[i][52], Dim[i][71], (Dim[i][121]+Dim[i][5])))))"
25, 0.179896, 0.491340, 0.335618, 0.375833, 0.664382, 0.266164, 0.779448, 3583.000000, 8440.000000, 38476.000000, 3461.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log((protected_div(Dim[i][80], Dim[i][71]))), Dim[i][52], Dim[i][71], (Dim[i][121]+Dim[i][5])))))"
26, 0.184692, 0.489495, 0.337093, 0.372546, 0.662907, 0.261947, 0.775519, 3596.000000, 8665.000000, 38251.000000, 3448.000000, "protected_div(sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_sqrt(Dim[i][3]), Dim[i][91], Dim[i][41], Dim[i][75])))), Dim[i][99])"
27, 0.179896, 0.491340, 0.335618, 0.375833, 0.664382, 0.266164, 0.779448, 3583.000000, 8440.000000, 38476.000000, 3461.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log((protected_div(Dim[i][80], Dim[i][71]))), Dim[i][52], Dim[i][71], (Dim[i][56]-Dim[i][15])))))"
28, 0.206348, 0.467348, 0.336848, 0.366460, 0.663152, 0.254234, 0.759581, 3752.000000, 9681.000000, 37235.000000, 3292.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][70], (ifLessThan(sin(Dim[i][103]), Dim[i][52], protected_div(Dim[i][30], sin(Dim[i][67])), Dim[i][15]))))"
29, 0.179896, 0.491340, 0.335618, 0.375833, 0.664382, 0.266164, 0.779448, 3583.000000, 8440.000000, 38476.000000, 3461.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log((protected_div(Dim[i][80], Dim[i][71]))), Dim[i][52], Dim[i][71], (Dim[i][121]+Dim[i][5])))))"
30, 0.179896, 0.491340, 0.335618, 0.375833, 0.664382, 0.266164, 0.779448, 3583.000000, 8440.000000, 38476.000000, 3461.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][56], ifLessThan(Dim[i][42], Dim[i][70], Dim[i][52], ifLessThan(protected_log((protected_div(Dim[i][80], Dim[i][71]))), Dim[i][52], Dim[i][71], (Dim[i][83]*Dim[i][68])))))"
31, 0.206348, 0.467348, 0.336848, 0.366460, 0.663152, 0.254234, 0.759581, 3752.000000, 9681.000000, 37235.000000, 3292.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][70], (ifLessThan(sin(Dim[i][103]), Dim[i][52], protected_div(Dim[i][30], sin(Dim[i][67])), Dim[i][15]))))"
32, 0.313965, 0.350227, 0.332096, 0.347387, 0.667904, 0.236011, 0.681301, 4577.000000, 14730.000000, 32186.000000, 2467.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], sin(Dim[i][67])))"
33, 0.206348, 0.467348, 0.336848, 0.366460, 0.663152, 0.254234, 0.759581, 3752.000000, 9681.000000, 37235.000000, 3292.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][70], (ifLessThan(sin(Dim[i][103]), Dim[i][52], protected_div(Dim[i][30], sin(Dim[i][67])), Dim[i][15]))))"
34, 0.206348, 0.467348, 0.336848, 0.366460, 0.663152, 0.254234, 0.759581, 3752.000000, 9681.000000, 37235.000000, 3292.000000, "sin(ifLessThan(Dim[i][108], Dim[i][106], Dim[i][70], (ifLessThan(sin(Dim[i][103]), Dim[i][52], protected_div(Dim[i][30], sin(Dim[i][67])), Dim[i][15]))))"
35, 0.313965, 0.350227, 0.332096, 0.347387, 0.667904, 0.236011, 0.681301, 4577.000000, 14730.000000, 32186.000000, 2467.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], sin(Dim[i][67])))"
36, 0.259933, 0.410704, 0.335318, 0.354938, 0.664682, 0.241471, 0.720385, 4151.000000, 12195.000000, 34721.000000, 2893.000000, "(Dim[i][28]*protected_div((Dim[i][52]), (Dim[i][30]-(protected_abs((Dim[i][30]-protected_div(Dim[i][30], sin((Dim[i][67])))))))))"
37, 0.259933, 0.410704, 0.335318, 0.354938, 0.664682, 0.241471, 0.720385, 4151.000000, 12195.000000, 34721.000000, 2893.000000, "(Dim[i][28]*protected_div((Dim[i][52]), (Dim[i][30]-(protected_abs((Dim[i][30]-protected_div(Dim[i][30], sin((Dim[i][67])))))))))"
38, 0.259933, 0.410704, 0.335318, 0.354938, 0.664682, 0.241471, 0.720385, 4151.000000, 12195.000000, 34721.000000, 2893.000000, "(Dim[i][28]*protected_div((Dim[i][52]), (Dim[i][30]-(protected_abs((Dim[i][30]-protected_div(Dim[i][30], sin((Dim[i][67])))))))))"
39, 0.296892, 0.364991, 0.330942, 0.351568, 0.669058, 0.240290, 0.694218, 4473.000000, 13929.000000, 32987.000000, 2571.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], ((ifLessThan(sin(Dim[i][90]), Dim[i][90], sin(protected_log(protected_log(protected_div(Dim[i][70], sin(Dim[i][52]))))), Dim[i][75])))))"
40, 0.296892, 0.364991, 0.330942, 0.351568, 0.669058, 0.240290, 0.694218, 4473.000000, 13929.000000, 32987.000000, 2571.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], ((ifLessThan(sin(Dim[i][90]), Dim[i][90], sin(protected_log(protected_log(protected_div(Dim[i][70], sin(Dim[i][52]))))), Dim[i][75])))))"
41, 0.311045, 0.351221, 0.331133, 0.348762, 0.668867, 0.237762, 0.683710, 4570.000000, 14593.000000, 32323.000000, 2474.000000, "tanh(protected_div(Dim[i][105], (Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], sin(Dim[i][67])))))"
42, 0.296892, 0.364991, 0.330942, 0.351568, 0.669058, 0.240290, 0.694218, 4473.000000, 13929.000000, 32987.000000, 2571.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], ((ifLessThan(sin(Dim[i][90]), Dim[i][90], sin(protected_log(protected_log(protected_div(Dim[i][70], sin(Dim[i][52]))))), Dim[i][75])))))"
43, 0.296892, 0.364991, 0.330942, 0.351568, 0.669058, 0.240290, 0.694218, 4473.000000, 13929.000000, 32987.000000, 2571.000000, "(Dim[i][30]*ifLessThan(Dim[i][3], Dim[i][91], Dim[i][41], ((ifLessThan(sin(Dim[i][90]), Dim[i][90], sin(protected_log(protected_log(protected_div(Dim[i][70], sin(Dim[i][52]))))), Dim[i][75])))))"
