Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.441577, 0.442058, 0.441817, 0.254979, 0.558183, 0.079933, 0.558358, 4078.000000, 20600.000000, 26051.000000, 3231.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
1, 0.442927, 0.441647, 0.442287, 0.254641, 0.557713, 0.079271, 0.557246, 4081.000000, 20663.000000, 25988.000000, 3228.000000, "protected_div(Dim[i][90], Dim[i][121])"
2, 0.492058, 0.432754, 0.462406, 0.240976, 0.537594, 0.051460, 0.515975, 4146.000000, 22955.000000, 23696.000000, 3163.000000, "protected_div(Dim[i][59], Dim[i][121])"
3, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
4, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
5, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
6, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
7, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
8, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
9, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
10, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
11, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
12, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
13, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
14, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][112]))"
15, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112])))"
16, 0.573192, 0.141059, 0.357126, 0.311355, 0.642874, 0.200659, 0.485341, 6278.000000, 26740.000000, 19911.000000, 1031.000000, "protected_div(protected_div(Dim[i][30], Dim[i][55]), (sin(Dim[i][112])))"
17, 0.407022, 0.355042, 0.381032, 0.304021, 0.618968, 0.164062, 0.600019, 4714.000000, 18988.000000, 27663.000000, 2595.000000, "sin(protected_log(protected_div(Dim[i][30], Dim[i][115])))"
