Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
1, 0.496547, 0.447757, 0.472152, 0.227286, 0.527848, 0.037529, 0.509822, 3890.000000, 23296.000000, 23620.000000, 3154.000000, "protected_div(Dim[i][59], Dim[i][121])"
2, 0.373540, 0.512635, 0.443087, 0.245197, 0.556913, 0.078680, 0.608302, 3433.000000, 17525.000000, 29391.000000, 3611.000000, "(Dim[i][103]*protected_div(protected_log(protected_div(Dim[i][119], (protected_log(protected_div(protected_abs(Dim[i][121]), Dim[i][92]))))), (Dim[i][79])))"
3, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
4, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
5, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
6, 0.445562, 0.458688, 0.452125, 0.240106, 0.547875, 0.064744, 0.552724, 3813.000000, 20904.000000, 26012.000000, 3231.000000, "protected_abs((protected_div(Dim[i][15], Dim[i][119])*Dim[i][121]))"
7, 0.577372, 0.146650, 0.362011, 0.299479, 0.637989, 0.190928, 0.478855, 6011.000000, 27088.000000, 19828.000000, 1033.000000, "(protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112]))))"
8, 0.577372, 0.146650, 0.362011, 0.299479, 0.637989, 0.190928, 0.478855, 6011.000000, 27088.000000, 19828.000000, 1033.000000, "(protected_div(protected_div(Dim[i][30], Dim[i][115]), (sin(Dim[i][112]))))"
9, 0.314434, 0.512351, 0.413393, 0.272284, 0.586607, 0.123452, 0.659729, 3435.000000, 14752.000000, 32164.000000, 3609.000000, "protected_div(Dim[i][60], protected_div(protected_abs(Dim[i][121]), sin(Dim[i][97])))"
