Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "(Dim[i][121])"
1, 0.516868, 0.447531, 0.482200, 0.261519, 0.517800, 0.026265, 0.494368, 5270.000000, 25494.000000, 23830.000000, 4269.000000, "protected_div(Dim[i][121], protected_div(Dim[i][100], Dim[i][32]))"
2, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
3, 0.387519, 0.260509, 0.324014, 0.395105, 0.675986, 0.261013, 0.633063, 7054.000000, 19114.000000, 30210.000000, 2485.000000, "sin((Dim[i][8]*Dim[i][71]))"
4, 0.619901, 0.295838, 0.457870, 0.286855, 0.542130, 0.064442, 0.432615, 6717.000000, 30576.000000, 18748.000000, 2822.000000, "(Dim[i][71]+(Dim[i][80]*Dim[i][43]))"
5, 0.516422, 0.447531, 0.481977, 0.261662, 0.518023, 0.026593, 0.494742, 5270.000000, 25472.000000, 23852.000000, 4269.000000, "protected_div(Dim[i][121], Dim[i][16])"
6, 0.516909, 0.447531, 0.482220, 0.261506, 0.517780, 0.026235, 0.494334, 5270.000000, 25496.000000, 23828.000000, 4269.000000, "protected_div(Dim[i][121], Dim[i][38])"
7, 0.499635, 0.448894, 0.474265, 0.266582, 0.525735, 0.037939, 0.508588, 5257.000000, 24644.000000, 24680.000000, 4282.000000, "protected_div(Dim[i][121], (protected_log(protected_abs(Dim[i][112]))*Dim[i][53]))"
8, 0.516503, 0.447531, 0.482017, 0.261636, 0.517983, 0.026533, 0.494674, 5270.000000, 25476.000000, 23848.000000, 4269.000000, "((Dim[i][76]*Dim[i][121]))"
9, 0.499635, 0.449104, 0.474369, 0.266494, 0.525631, 0.037784, 0.508554, 5255.000000, 24644.000000, 24680.000000, 4284.000000, "protected_div(Dim[i][121], (protected_log(protected_abs(Dim[i][112]))-Dim[i][90]))"
10, 0.493938, 0.449418, 0.471678, 0.268274, 0.528322, 0.041747, 0.513277, 5252.000000, 24363.000000, 24961.000000, 4287.000000, "sin(ifLessThan(Dim[i][85], Dim[i][34], Dim[i][29], (protected_log(protected_abs(Dim[i][112]))*Dim[i][53])))"
11, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "(Dim[i][2]*protected_div(Dim[i][121], Dim[i][60]))"
12, 0.441124, 0.335989, 0.388557, 0.336637, 0.611443, 0.164438, 0.575914, 6334.000000, 21758.000000, 27566.000000, 3205.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], protected_div(Dim[i][15], Dim[i][67])))"
13, 0.441124, 0.335989, 0.388557, 0.336637, 0.611443, 0.164438, 0.575914, 6334.000000, 21758.000000, 27566.000000, 3205.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], protected_div(protected_abs(Dim[i][25]), Dim[i][120])))"
14, 0.441124, 0.335989, 0.388557, 0.336637, 0.611443, 0.164438, 0.575914, 6334.000000, 21758.000000, 27566.000000, 3205.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], Dim[i][2]))"
15, 0.441124, 0.335989, 0.388557, 0.336637, 0.611443, 0.164438, 0.575914, 6334.000000, 21758.000000, 27566.000000, 3205.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], tanh(Dim[i][86])))"
16, 0.440212, 0.336513, 0.388362, 0.336819, 0.611638, 0.164738, 0.576593, 6329.000000, 21713.000000, 27611.000000, 3210.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][67], ifLessThan(protected_div(protected_abs(Dim[i][90]), Dim[i][120]), Dim[i][90], Dim[i][14], Dim[i][9])))"
17, 0.441124, 0.335989, 0.388557, 0.336637, 0.611443, 0.164438, 0.575914, 6334.000000, 21758.000000, 27566.000000, 3205.000000, "protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], Dim[i][109]))"
18, 0.376571, 0.387043, 0.381807, 0.344346, 0.618193, 0.176798, 0.621732, 5847.000000, 18574.000000, 30750.000000, 3692.000000, "((protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], protected_log((Dim[i][105])))))-Dim[i][57])"
19, 0.376571, 0.387043, 0.381807, 0.344346, 0.618193, 0.176798, 0.621732, 5847.000000, 18574.000000, 30750.000000, 3692.000000, "((protected_log(ifLessThan(Dim[i][106], Dim[i][5], Dim[i][68], protected_log((Dim[i][105])))))-Dim[i][57])"
20, 0.424114, 0.343852, 0.383983, 0.340932, 0.616017, 0.171513, 0.588893, 6259.000000, 20919.000000, 28405.000000, 3280.000000, "protected_log(ifLessThan(Dim[i][29], Dim[i][68], ifLessThan(Dim[i][106], Dim[i][5], (protected_log(protected_log((ifLessThan(Dim[i][8], Dim[i][47], Dim[i][109], Dim[i][7]))))*Dim[i][3]), protected_div(Dim[i][53], Dim[i][6])), Dim[i][6]))"
21, 0.395365, 0.356851, 0.376108, 0.348827, 0.623892, 0.184155, 0.610876, 6135.000000, 19501.000000, 29823.000000, 3404.000000, "protected_log(ifLessThan(Dim[i][29], Dim[i][68], protected_log((protected_sqrt(Dim[i][52])*Dim[i][44])), ifLessThan(Dim[i][90], Dim[i][120], (Dim[i][26]), Dim[i][5])))"
