Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
1, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
2, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
3, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "(sin(Dim[i][68]))"
4, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
5, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
6, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
7, 0.307187, 0.604733, 0.455960, 0.233564, 0.544040, 0.064328, 0.653014, 3240.000000, 16307.000000, 36778.000000, 4957.000000, "sin(Dim[i][68])"
8, 0.418875, 0.431987, 0.425431, 0.265382, 0.574569, 0.102299, 0.579371, 4656.000000, 22236.000000, 30849.000000, 3541.000000, "sin((protected_div(Dim[i][19], Dim[i][26])*Dim[i][67]))"
9, 0.214449, 0.625961, 0.420205, 0.270764, 0.579795, 0.127972, 0.730508, 3066.000000, 11384.000000, 41701.000000, 5131.000000, "protected_log(protected_div(Dim[i][74], sin(Dim[i][68])))"
10, 0.418875, 0.431987, 0.425431, 0.265382, 0.574569, 0.102299, 0.579371, 4656.000000, 22236.000000, 30849.000000, 3541.000000, "sin((protected_div(Dim[i][19], Dim[i][26])*Dim[i][67]))"
11, 0.418875, 0.431987, 0.425431, 0.265382, 0.574569, 0.102299, 0.579371, 4656.000000, 22236.000000, 30849.000000, 3541.000000, "sin((protected_div(Dim[i][19], Dim[i][26])*Dim[i][67]))"
12, 0.418875, 0.431255, 0.425065, 0.265679, 0.574935, 0.102799, 0.579469, 4662.000000, 22236.000000, 30849.000000, 3535.000000, "sin((protected_div(Dim[i][19], Dim[i][26])*Dim[i][97]))"
13, 0.536159, 0.200683, 0.368421, 0.303256, 0.631579, 0.181007, 0.508714, 6552.000000, 28462.000000, 24623.000000, 1645.000000, "protected_log(((Dim[i][70]*(sin(Dim[i][22])))))"
