Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.523877, 0.445564, 0.484720, 0.225052, 0.515280, 0.020882, 0.486652, 4568.000000, 27788.000000, 25255.000000, 3671.000000, "(Dim[i][107]*Dim[i][121])"
1, 0.523877, 0.445564, 0.484720, 0.225052, 0.515280, 0.020882, 0.486652, 4568.000000, 27788.000000, 25255.000000, 3671.000000, "Dim[i][121]"
2, 0.523387, 0.445564, 0.484475, 0.225197, 0.515525, 0.021216, 0.487076, 4568.000000, 27762.000000, 25281.000000, 3671.000000, "protected_div((tanh(Dim[i][59])), (Dim[i][121]))"
3, 0.293517, 0.609904, 0.451710, 0.237880, 0.548290, 0.071460, 0.663947, 3214.000000, 15569.000000, 37474.000000, 5025.000000, "(protected_div(Dim[i][10], Dim[i][118])*sin(Dim[i][68]))"
4, 0.293517, 0.609904, 0.451710, 0.237880, 0.548290, 0.071460, 0.663947, 3214.000000, 15569.000000, 37474.000000, 5025.000000, "(protected_div(Dim[i][10], Dim[i][118])*sin(Dim[i][68]))"
5, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
6, 0.487887, 0.454910, 0.471398, 0.232640, 0.528602, 0.039029, 0.516546, 4491.000000, 25879.000000, 27164.000000, 3748.000000, "protected_div(Dim[i][90], (Dim[i][121]))"
7, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
8, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
9, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
10, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin(Dim[i][8])"
11, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
12, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
13, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
14, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
15, 0.206417, 0.536716, 0.371567, 0.331841, 0.628433, 0.204893, 0.749176, 3817.000000, 10949.000000, 42094.000000, 4422.000000, "sin(protected_log(Dim[i][78]))"
16, 0.508569, 0.176235, 0.342402, 0.323175, 0.657598, 0.216170, 0.536112, 6787.000000, 26976.000000, 26067.000000, 1452.000000, "protected_log(protected_log(((Dim[i][67]-Dim[i][85])+ifLessThan((Dim[i][101]), Dim[i][79], Dim[i][119], Dim[i][14]))))"
17, 0.508569, 0.176235, 0.342402, 0.323175, 0.657598, 0.216170, 0.536112, 6787.000000, 26976.000000, 26067.000000, 1452.000000, "protected_log(protected_log(((Dim[i][67]-Dim[i][85])+ifLessThan((Dim[i][101]), Dim[i][79], Dim[i][119], Dim[i][14]))))"
18, 0.508569, 0.176235, 0.342402, 0.323175, 0.657598, 0.216170, 0.536112, 6787.000000, 26976.000000, 26067.000000, 1452.000000, "protected_log(protected_log(((Dim[i][67]-Dim[i][85])+ifLessThan((Dim[i][101]), Dim[i][79], Dim[i][119], tanh(Dim[i][4])))))"
19, 0.508569, 0.176114, 0.342341, 0.323215, 0.657659, 0.216254, 0.536128, 6788.000000, 26976.000000, 26067.000000, 1451.000000, "ifLessThan(Dim[i][93], tanh(Dim[i][4]), Dim[i][99], protected_log(protected_log(((Dim[i][67]-Dim[i][85])+ifLessThan((Dim[i][101]), Dim[i][79], Dim[i][119], Dim[i][14])))))"
20, 0.290538, 0.341182, 0.315860, 0.373341, 0.684140, 0.265197, 0.702653, 5428.000000, 15411.000000, 37632.000000, 2811.000000, "protected_log((protected_log(((Dim[i][67]*Dim[i][85])*sin((Dim[i][97]))))*protected_div(((Dim[i][67]*Dim[i][2])-Dim[i][70]), Dim[i][102])))"
21, 0.290538, 0.341182, 0.315860, 0.373341, 0.684140, 0.265197, 0.702653, 5428.000000, 15411.000000, 37632.000000, 2811.000000, "protected_log((protected_log(((Dim[i][67]*Dim[i][85])*sin((Dim[i][97]))))*protected_div(((Dim[i][67]*Dim[i][2])-Dim[i][70]), Dim[i][102])))"
22, 0.365779, 0.322126, 0.343953, 0.336183, 0.656047, 0.216649, 0.640090, 5585.000000, 19402.000000, 33641.000000, 2654.000000, "protected_log(((Dim[i][67]-Dim[i][85])-Dim[i][119]))"
23, 0.365779, 0.322126, 0.343953, 0.336183, 0.656047, 0.216649, 0.640090, 5585.000000, 19402.000000, 33641.000000, 2654.000000, "protected_log(((Dim[i][67]-Dim[i][85])-Dim[i][119]))"
24, 0.365779, 0.322126, 0.343953, 0.336183, 0.656047, 0.216649, 0.640090, 5585.000000, 19402.000000, 33641.000000, 2654.000000, "protected_log(((Dim[i][67]-Dim[i][85])-Dim[i][119]))"
