Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.463012, 0.510614, 0.486813, 0.268454, 0.513187, 0.020163, 0.528575, 4795.000000, 21130.000000, 24506.000000, 5003.000000, "(protected_div(Dim[i][15], Dim[i][119])*Dim[i][121])"
1, 0.498904, 0.491529, 0.495217, 0.265367, 0.504783, 0.007299, 0.502399, 4982.000000, 22768.000000, 22868.000000, 4816.000000, "protected_div(Dim[i][59], Dim[i][121])"
2, 0.498904, 0.491529, 0.495217, 0.265367, 0.504783, 0.007299, 0.502399, 4982.000000, 22768.000000, 22868.000000, 4816.000000, "protected_div(Dim[i][59], Dim[i][121])"
3, 0.464852, 0.513370, 0.489111, 0.266518, 0.510889, 0.016647, 0.526572, 4768.000000, 21214.000000, 24422.000000, 5030.000000, "protected_div(protected_div(Dim[i][30], Dim[i][115]), sin(Dim[i][91]))"
4, 0.497721, 0.488365, 0.493043, 0.267182, 0.506957, 0.010615, 0.503933, 5013.000000, 22714.000000, 22922.000000, 4785.000000, "ifLessThan(Dim[i][102], Dim[i][51], (ifLessThan(Dim[i][19], Dim[i][13], (Dim[i][56]+Dim[i][53]), Dim[i][121])), Dim[i][19])"
5, 0.466211, 0.506736, 0.486473, 0.269195, 0.513527, 0.020674, 0.526626, 4833.000000, 21276.000000, 24360.000000, 4965.000000, "(protected_div(Dim[i][30], Dim[i][121])*protected_abs(Dim[i][20]))"
6, 0.496231, 0.485813, 0.491022, 0.268822, 0.508978, 0.013699, 0.505610, 5038.000000, 22646.000000, 22990.000000, 4760.000000, "ifLessThan(Dim[i][35], ifLessThan(Dim[i][38], Dim[i][72], Dim[i][116], Dim[i][6]), (ifLessThan(Dim[i][120], Dim[i][34], Dim[i][83], sin(Dim[i][6]))), Dim[i][30])"
7, 0.466211, 0.506736, 0.486473, 0.269195, 0.513527, 0.020674, 0.526626, 4833.000000, 21276.000000, 24360.000000, 4965.000000, "(protected_div(Dim[i][30], Dim[i][121])*protected_abs(Dim[i][20]))"
8, 0.466211, 0.506736, 0.486473, 0.269195, 0.513527, 0.020674, 0.526626, 4833.000000, 21276.000000, 24360.000000, 4965.000000, "(protected_div(Dim[i][30], Dim[i][121])*protected_abs(Dim[i][20]))"
9, 0.466211, 0.506736, 0.486473, 0.269195, 0.513527, 0.020674, 0.526626, 4833.000000, 21276.000000, 24360.000000, 4965.000000, "(protected_div(Dim[i][30], Dim[i][121])*protected_abs(Dim[i][20]))"
