Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.521374, 0.435149, 0.478262, 0.266879, 0.521738, 0.032207, 0.492720, 5435.000000, 25673.000000, 23568.000000, 4187.000000, "protected_div(Dim[i][66], Dim[i][121])"
1, 0.521496, 0.435149, 0.478322, 0.266840, 0.521678, 0.032117, 0.492618, 5435.000000, 25679.000000, 23562.000000, 4187.000000, "Dim[i][121]"
2, 0.521496, 0.435149, 0.478322, 0.266840, 0.521678, 0.032117, 0.492618, 5435.000000, 25679.000000, 23562.000000, 4187.000000, "Dim[i][121]"
3, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin((protected_log(Dim[i][69])))"
4, 0.520643, 0.435149, 0.477896, 0.267116, 0.522104, 0.032746, 0.493332, 5435.000000, 25637.000000, 23604.000000, 4187.000000, "(protected_div(protected_div(Dim[i][121], Dim[i][24]), ifLessThan(Dim[i][89], (Dim[i][71]), protected_div(Dim[i][57], Dim[i][66]), Dim[i][94])))"
5, 0.473386, 0.507171, 0.490279, 0.251739, 0.509721, 0.014395, 0.521091, 4742.000000, 23310.000000, 25931.000000, 4880.000000, "sin((Dim[i][80]*protected_log(((Dim[i][70])*Dim[i][30]))))"
6, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin((protected_log(Dim[i][69])))"
7, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin((protected_log(Dim[i][69])))"
8, 0.520948, 0.435149, 0.478048, 0.267017, 0.521952, 0.032521, 0.493077, 5435.000000, 25652.000000, 23589.000000, 4187.000000, "sin((Dim[i][121]-Dim[i][47]))"
9, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin(sin(protected_log(Dim[i][69])))"
10, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin(protected_log(Dim[i][69]))"
11, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin(sin(protected_log(Dim[i][69])))"
12, 0.614325, 0.242153, 0.428239, 0.309219, 0.571761, 0.110420, 0.446511, 7292.000000, 30250.000000, 18991.000000, 2330.000000, "(Dim[i][80]-(Dim[i][46]))"
13, 0.551756, 0.376637, 0.464196, 0.280352, 0.535804, 0.053391, 0.476870, 5998.000000, 27169.000000, 22072.000000, 3624.000000, "sin((protected_log(Dim[i][69])))"
14, 0.518572, 0.190293, 0.354433, 0.362811, 0.645567, 0.217227, 0.535090, 7791.000000, 25535.000000, 23706.000000, 1831.000000, "sin(protected_log(Dim[i][33]))"
15, 0.614325, 0.242153, 0.428239, 0.309219, 0.571761, 0.110420, 0.446511, 7292.000000, 30250.000000, 18991.000000, 2330.000000, "(Dim[i][80]-(Dim[i][46]))"
16, 0.518572, 0.190293, 0.354433, 0.362811, 0.645567, 0.217227, 0.535090, 7791.000000, 25535.000000, 23706.000000, 1831.000000, "sin(protected_log(Dim[i][33]))"
17, 0.518572, 0.190293, 0.354433, 0.362811, 0.645567, 0.217227, 0.535090, 7791.000000, 25535.000000, 23706.000000, 1831.000000, "sin(protected_log(Dim[i][33]))"
18, 0.518572, 0.190293, 0.354433, 0.362811, 0.645567, 0.217227, 0.535090, 7791.000000, 25535.000000, 23706.000000, 1831.000000, "sin(protected_log(Dim[i][33]))"
19, 0.518572, 0.190293, 0.354433, 0.362811, 0.645567, 0.217227, 0.535090, 7791.000000, 25535.000000, 23706.000000, 1831.000000, "sin(protected_log(Dim[i][33]))"
