Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.496483, 0.447757, 0.472120, 0.227306, 0.527880, 0.037572, 0.509878, 3890.000000, 23293.000000, 23623.000000, 3154.000000, "protected_div(Dim[i][121], Dim[i][112])"
1, 0.280480, 0.511925, 0.396203, 0.290851, 0.603797, 0.151548, 0.689307, 3438.000000, 13159.000000, 33757.000000, 3606.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
2, 0.280480, 0.511925, 0.396203, 0.290851, 0.603797, 0.151548, 0.689307, 3438.000000, 13159.000000, 33757.000000, 3606.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
3, 0.520462, 0.320982, 0.420722, 0.263926, 0.579278, 0.107198, 0.505578, 4783.000000, 24418.000000, 22498.000000, 2261.000000, "(Dim[i][42]+sin(Dim[i][98]))"
4, 0.520462, 0.320982, 0.420722, 0.263926, 0.579278, 0.107198, 0.505578, 4783.000000, 24418.000000, 22498.000000, 2261.000000, "(Dim[i][42]+sin(Dim[i][98]))"
5, 0.217325, 0.524560, 0.370942, 0.325319, 0.629058, 0.200550, 0.742569, 3349.000000, 10196.000000, 36720.000000, 3695.000000, "(Dim[i][15]*sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
6, 0.520462, 0.320982, 0.420722, 0.263926, 0.579278, 0.107198, 0.505578, 4783.000000, 24418.000000, 22498.000000, 2261.000000, "(Dim[i][42]+sin(Dim[i][98]))"
7, 0.520462, 0.320982, 0.420722, 0.263926, 0.579278, 0.107198, 0.505578, 4783.000000, 24418.000000, 22498.000000, 2261.000000, "(Dim[i][42]+sin(Dim[i][98]))"
8, 0.520462, 0.320982, 0.420722, 0.263926, 0.579278, 0.107198, 0.505578, 4783.000000, 24418.000000, 22498.000000, 2261.000000, "(Dim[i][42]+sin(Dim[i][98]))"
9, 0.280480, 0.511925, 0.396203, 0.290851, 0.603797, 0.151548, 0.689307, 3438.000000, 13159.000000, 33757.000000, 3606.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
10, 0.280480, 0.511925, 0.396203, 0.290851, 0.603797, 0.151548, 0.689307, 3438.000000, 13159.000000, 33757.000000, 3606.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
11, 0.527666, 0.239637, 0.383652, 0.288298, 0.616348, 0.157857, 0.509933, 5356.000000, 24756.000000, 22160.000000, 1688.000000, "(sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74]))))))"
12, 0.465769, 0.272572, 0.369171, 0.301235, 0.630829, 0.176305, 0.559451, 5124.000000, 21852.000000, 25064.000000, 1920.000000, "sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))"
13, 0.574410, 0.148211, 0.361310, 0.300053, 0.638690, 0.191646, 0.481227, 6000.000000, 26949.000000, 19967.000000, 1044.000000, "(Dim[i][105]*ifLessThan(Dim[i][116], Dim[i][65], sin(sin(Dim[i][112])), protected_sqrt(protected_sqrt(Dim[i][90]))))"
14, 0.219627, 0.522430, 0.371029, 0.324836, 0.628971, 0.199817, 0.740845, 3364.000000, 10304.000000, 36612.000000, 3680.000000, "(Dim[i][60]*sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
15, 0.219627, 0.522288, 0.370958, 0.324917, 0.629042, 0.199922, 0.740864, 3365.000000, 10304.000000, 36612.000000, 3679.000000, "(Dim[i][0]*sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
16, 0.574410, 0.148211, 0.361310, 0.300053, 0.638690, 0.191646, 0.481227, 6000.000000, 26949.000000, 19967.000000, 1044.000000, "((Dim[i][105])*sin(Dim[i][112]))"
17, 0.465769, 0.272572, 0.369171, 0.301235, 0.630829, 0.176305, 0.559451, 5124.000000, 21852.000000, 25064.000000, 1920.000000, "sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))"
18, 0.219627, 0.522288, 0.370958, 0.324917, 0.629042, 0.199922, 0.740864, 3365.000000, 10304.000000, 36612.000000, 3679.000000, "(Dim[i][0]*sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
19, 0.433115, 0.272572, 0.352843, 0.315440, 0.647157, 0.198629, 0.587843, 5124.000000, 20320.000000, 26596.000000, 1920.000000, "protected_log(protected_div(Dim[i][112], sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))))"
20, 0.353675, 0.383021, 0.368348, 0.310617, 0.631652, 0.182035, 0.642494, 4346.000000, 16593.000000, 30323.000000, 2698.000000, "sin(protected_log(protected_div(Dim[i][113], ifLessThan((Dim[i][4]), Dim[i][116], Dim[i][99], sin(ifLessThan(Dim[i][49], Dim[i][86], Dim[i][75], Dim[i][7]))))))"
21, 0.353675, 0.383021, 0.368348, 0.310617, 0.631652, 0.182035, 0.642494, 4346.000000, 16593.000000, 30323.000000, 2698.000000, "sin(protected_log(protected_div(Dim[i][113], ifLessThan((Dim[i][4]), Dim[i][116], Dim[i][99], sin(ifLessThan(Dim[i][49], Dim[i][86], Dim[i][75], Dim[i][7]))))))"
22, 0.433115, 0.272572, 0.352843, 0.315440, 0.647157, 0.198629, 0.587843, 5124.000000, 20320.000000, 26596.000000, 1920.000000, "protected_log(protected_div(Dim[i][112], sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))))"
23, 0.433115, 0.272572, 0.352843, 0.315440, 0.647157, 0.198629, 0.587843, 5124.000000, 20320.000000, 26596.000000, 1920.000000, "protected_log(protected_div(Dim[i][112], sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))))"
24, 0.353675, 0.383021, 0.368348, 0.310617, 0.631652, 0.182035, 0.642494, 4346.000000, 16593.000000, 30323.000000, 2698.000000, "sin(protected_log(protected_div(Dim[i][113], ifLessThan((Dim[i][4]), Dim[i][116], Dim[i][99], sin(ifLessThan(Dim[i][49], Dim[i][86], Dim[i][75], Dim[i][7]))))))"
25, 0.433115, 0.272572, 0.352843, 0.315440, 0.647157, 0.198629, 0.587843, 5124.000000, 20320.000000, 26596.000000, 1920.000000, "protected_log(protected_div(Dim[i][112], sin((Dim[i][7]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74])))))))"
26, 0.356062, 0.323680, 0.339871, 0.334163, 0.660129, 0.220436, 0.648165, 4764.000000, 16705.000000, 30211.000000, 2280.000000, "protected_log(protected_div((Dim[i][59]), (Dim[i][117]+ifLessThan(Dim[i][122], Dim[i][79], Dim[i][98], ((Dim[i][87]-Dim[i][74]))))))"
