Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.491538, 0.359881, 0.425709, 0.260530, 0.574291, 0.100137, 0.525649, 4509.000000, 23061.000000, 23855.000000, 2535.000000, "protected_log((Dim[i][48]-Dim[i][76]))"
1, 0.580570, 0.271153, 0.425861, 0.260503, 0.574139, 0.101966, 0.459822, 5134.000000, 27238.000000, 19678.000000, 1910.000000, "ifLessThan(Dim[i][91], (Dim[i][33]), tanh(Dim[i][98]), protected_log((protected_div(Dim[i][44], ifLessThan(Dim[i][3], Dim[i][48], ((Dim[i][8])), Dim[i][121])))))"
2, 0.570616, 0.268313, 0.419465, 0.264518, 0.580535, 0.110399, 0.468847, 5154.000000, 26771.000000, 20145.000000, 1890.000000, "(protected_log(Dim[i][77])+protected_sqrt(Dim[i][42]))"
3, 0.580570, 0.271153, 0.425861, 0.260503, 0.574139, 0.101966, 0.459822, 5134.000000, 27238.000000, 19678.000000, 1910.000000, "ifLessThan(Dim[i][105], Dim[i][5], ifLessThan(Dim[i][91], (Dim[i][33]), tanh(Dim[i][98]), protected_log((protected_div(Dim[i][44], ifLessThan(Dim[i][3], Dim[i][48], ((Dim[i][8])), Dim[i][121]))))), Dim[i][9])"
4, 0.490856, 0.277399, 0.384128, 0.289509, 0.615872, 0.156288, 0.537009, 5090.000000, 23029.000000, 23887.000000, 1954.000000, "(Dim[i][0]*ifLessThan(Dim[i][91], (Dim[i][33]), tanh(Dim[i][98]), protected_log((protected_div(Dim[i][44], ifLessThan(Dim[i][3], Dim[i][48], ((Dim[i][8])), Dim[i][121]))))))"
5, 0.490856, 0.278109, 0.384483, 0.289266, 0.615517, 0.155808, 0.536916, 5085.000000, 23029.000000, 23887.000000, 1959.000000, "(Dim[i][0]*ifLessThan(Dim[i][91], (Dim[i][33]), tanh(Dim[i][98]), protected_log(Dim[i][105])))"
6, 0.490856, 0.278109, 0.384483, 0.289266, 0.615517, 0.155808, 0.536916, 5085.000000, 23029.000000, 23887.000000, 1959.000000, "(Dim[i][0]*ifLessThan(Dim[i][91], (Dim[i][33]), tanh(Dim[i][98]), protected_log((protected_div((Dim[i][0]), protected_log(Dim[i][20]))))))"
7, 0.570616, 0.268313, 0.419465, 0.264518, 0.580535, 0.110399, 0.468847, 5154.000000, 26771.000000, 20145.000000, 1890.000000, "(protected_log(Dim[i][77])+protected_sqrt(Dim[i][42]))"
8, 0.253005, 0.467916, 0.360461, 0.330774, 0.639539, 0.207323, 0.718940, 3748.000000, 11870.000000, 35046.000000, 3296.000000, "(protected_log(Dim[i][77])+sin((Dim[i][52])))"
9, 0.267137, 0.449035, 0.358086, 0.330889, 0.641914, 0.207844, 0.709118, 3881.000000, 12533.000000, 34383.000000, 3163.000000, "(protected_log(Dim[i][77])+sin(ifLessThan(Dim[i][54], Dim[i][59], Dim[i][0], (Dim[i][97]))))"
10, 0.267137, 0.449035, 0.358086, 0.330889, 0.641914, 0.207844, 0.709118, 3881.000000, 12533.000000, 34383.000000, 3163.000000, "(protected_log(Dim[i][77])+sin(ifLessThan(Dim[i][54], Dim[i][59], Dim[i][0], (Dim[i][97]))))"
