Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.496645, 0.485425, 0.491035, 0.272571, 0.508965, 0.013780, 0.505376, 5137.000000, 22573.000000, 22878.000000, 4846.000000, "Dim[i][121]"
1, 0.496645, 0.485425, 0.491035, 0.272571, 0.508965, 0.013780, 0.505376, 5137.000000, 22573.000000, 22878.000000, 4846.000000, "(Dim[i][121])"
2, 0.460012, 0.510868, 0.485440, 0.272992, 0.514560, 0.022433, 0.530829, 4883.000000, 20908.000000, 24543.000000, 5100.000000, "protected_div(sin(protected_div(Dim[i][113], Dim[i][15])), Dim[i][81])"
3, 0.496051, 0.485425, 0.490738, 0.272766, 0.509262, 0.014236, 0.505863, 5137.000000, 22546.000000, 22905.000000, 4846.000000, "((Dim[i][121])*Dim[i][53])"
4, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
5, 0.542452, 0.360914, 0.451683, 0.311083, 0.548317, 0.074803, 0.490241, 6380.000000, 24655.000000, 20796.000000, 3603.000000, "sin(sin((Dim[i][2]+Dim[i][53])))"
6, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
7, 0.542452, 0.360914, 0.451683, 0.311083, 0.548317, 0.074803, 0.490241, 6380.000000, 24655.000000, 20796.000000, 3603.000000, "sin(sin((Dim[i][2]+Dim[i][53])))"
8, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
9, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
10, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
11, 0.461706, 0.501052, 0.481379, 0.277115, 0.518621, 0.028679, 0.531208, 4981.000000, 20985.000000, 24466.000000, 5002.000000, "protected_div(Dim[i][121], Dim[i][90])"
12, 0.457240, 0.504658, 0.480949, 0.276953, 0.519051, 0.029358, 0.534221, 4945.000000, 20782.000000, 24669.000000, 5038.000000, "protected_div(Dim[i][121], Dim[i][105])"
13, 0.457240, 0.504658, 0.480949, 0.276953, 0.519051, 0.029358, 0.534221, 4945.000000, 20782.000000, 24669.000000, 5038.000000, "protected_div((Dim[i][105]), Dim[i][121])"
14, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), Dim[i][47])"
15, 0.495699, 0.445257, 0.470478, 0.291083, 0.529522, 0.045381, 0.513385, 5538.000000, 22530.000000, 22921.000000, 4445.000000, "(Dim[i][50]-Dim[i][80])"
16, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), Dim[i][47])"
17, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), Dim[i][47])"
18, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), Dim[i][47])"
19, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), Dim[i][91])"
20, 0.385140, 0.332365, 0.358753, 0.390302, 0.641247, 0.218903, 0.624364, 6665.000000, 17505.000000, 27946.000000, 3318.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]-((sin(Dim[i][28])))))), protected_div(protected_abs(Dim[i][58]), Dim[i][70]))"
21, 0.386526, 0.319643, 0.353085, 0.395539, 0.646915, 0.227490, 0.625519, 6792.000000, 17568.000000, 27883.000000, 3191.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][113]*Dim[i][82]))), Dim[i][82])"
22, 0.350773, 0.350796, 0.350785, 0.399975, 0.649215, 0.233650, 0.649222, 6481.000000, 15943.000000, 29508.000000, 3502.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], Dim[i][50])), Dim[i][105])"
23, 0.373567, 0.336773, 0.355170, 0.394307, 0.644830, 0.225107, 0.633059, 6621.000000, 16979.000000, 28472.000000, 3362.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (Dim[i][61]+protected_log(Dim[i][4])))), ifLessThan(Dim[i][105], Dim[i][105], ifLessThan(Dim[i][52], Dim[i][44], protected_div(Dim[i][34], Dim[i][97]), Dim[i][67]), Dim[i][40]))"
24, 0.360630, 0.340178, 0.350404, 0.399684, 0.649596, 0.233372, 0.643053, 6587.000000, 16391.000000, 29060.000000, 3396.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], protected_log(protected_log(Dim[i][50])))), Dim[i][0])"
25, 0.350113, 0.352900, 0.351507, 0.399308, 0.648493, 0.232605, 0.649385, 6460.000000, 15913.000000, 29538.000000, 3523.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], ((Dim[i][77]*Dim[i][25])))), Dim[i][105])"
26, 0.389672, 0.318141, 0.353907, 0.394597, 0.646093, 0.226063, 0.623210, 6807.000000, 17711.000000, 27740.000000, 3176.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][44], Dim[i][83])), Dim[i][1])"
27, 0.378165, 0.321146, 0.349656, 0.399258, 0.650344, 0.233232, 0.632103, 6777.000000, 17188.000000, 28263.000000, 3206.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], protected_log(protected_log(Dim[i][50])))), Dim[i][97])"
28, 0.360300, 0.341681, 0.350990, 0.399138, 0.649010, 0.232501, 0.643053, 6572.000000, 16376.000000, 29075.000000, 3411.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], Dim[i][39])), sin(Dim[i][0]))"
29, 0.367583, 0.332866, 0.350224, 0.399400, 0.649776, 0.233100, 0.638669, 6660.000000, 16707.000000, 28744.000000, 3323.000000, "protected_div(ifLessThan(Dim[i][91], (Dim[i][80]), Dim[i][102], Dim[i][105]), protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], ((Dim[i][77]*Dim[i][25])))))"
30, 0.378165, 0.321146, 0.349656, 0.399258, 0.650344, 0.233232, 0.632103, 6777.000000, 17188.000000, 28263.000000, 3206.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], protected_log(protected_log(Dim[i][50])))), ifLessThan(Dim[i][122], Dim[i][23], Dim[i][110], Dim[i][87]))"
31, 0.350091, 0.350897, 0.350494, 0.400309, 0.649506, 0.234159, 0.649764, 6480.000000, 15912.000000, 29539.000000, 3503.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], (protected_log(protected_log(Dim[i][50]))))), Dim[i][105])"
32, 0.378165, 0.321146, 0.349656, 0.399258, 0.650344, 0.233232, 0.632103, 6777.000000, 17188.000000, 28263.000000, 3206.000000, "protected_div(protected_log(ifLessThan(sin(Dim[i][30]), (Dim[i][70]-(Dim[i][77]*Dim[i][25])), Dim[i][105], protected_log(protected_log(Dim[i][50])))), ifLessThan(Dim[i][122], Dim[i][23], Dim[i][110], protected_div(Dim[i][45], protected_sqrt(sin(protected_log(protected_div(ifLessThan(Dim[i][105], Dim[i][122], Dim[i][10], Dim[i][110]), Dim[i][61])))))))"
