Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.523820, 0.445564, 0.484692, 0.225069, 0.515308, 0.020921, 0.486701, 4568.000000, 27785.000000, 25258.000000, 3671.000000, "protected_div(Dim[i][66], Dim[i][121])"
1, 0.523877, 0.445564, 0.484720, 0.225052, 0.515280, 0.020882, 0.486652, 4568.000000, 27788.000000, 25255.000000, 3671.000000, "Dim[i][121]"
2, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "sin(Dim[i][53])"
3, 0.523877, 0.445564, 0.484720, 0.225052, 0.515280, 0.020882, 0.486652, 4568.000000, 27788.000000, 25255.000000, 3671.000000, "Dim[i][121]"
4, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin((Dim[i][8]))"
5, 0.579775, 0.345552, 0.462663, 0.242970, 0.537337, 0.051789, 0.451715, 5392.000000, 30753.000000, 22290.000000, 2847.000000, "protected_log((Dim[i][103]+Dim[i][14]))"
6, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin((Dim[i][8]))"
7, 0.691948, 0.092001, 0.391975, 0.285409, 0.608025, 0.164324, 0.388711, 7481.000000, 36703.000000, 16340.000000, 758.000000, "protected_div(Dim[i][0], (Dim[i][30]*sin(Dim[i][97])))"
8, 0.692005, 0.092001, 0.392003, 0.285393, 0.607997, 0.164290, 0.388662, 7481.000000, 36706.000000, 16337.000000, 758.000000, "(Dim[i][30]*sin(Dim[i][97]))"
9, 0.692005, 0.092001, 0.392003, 0.285393, 0.607997, 0.164290, 0.388662, 7481.000000, 36706.000000, 16337.000000, 758.000000, "(Dim[i][30]*sin(Dim[i][97]))"
10, 0.696171, 0.088603, 0.392387, 0.285107, 0.607613, 0.164449, 0.385513, 7509.000000, 36927.000000, 16116.000000, 730.000000, "protected_div(Dim[i][0], sin((Dim[i][97]+Dim[i][118])))"
11, 0.393605, 0.421896, 0.407751, 0.281169, 0.592249, 0.127586, 0.602591, 4763.000000, 20878.000000, 32165.000000, 3476.000000, "protected_div(Dim[i][0], sin((Dim[i][97]+Dim[i][113])))"
12, 0.691948, 0.092001, 0.391975, 0.285409, 0.608025, 0.164324, 0.388711, 7481.000000, 36703.000000, 16340.000000, 758.000000, "protected_div(Dim[i][0], (Dim[i][30]*sin(Dim[i][97])))"
