Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.463581, 0.516330, 0.489956, 0.265542, 0.510044, 0.015359, 0.527095, 4739.000000, 21156.000000, 24480.000000, 5059.000000, "(Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][34], Dim[i][73])), sin(Dim[i][78])))"
1, 0.463012, 0.510614, 0.486813, 0.268454, 0.513187, 0.020163, 0.528575, 4795.000000, 21130.000000, 24506.000000, 5003.000000, "protected_div(Dim[i][15], Dim[i][121])"
2, 0.514594, 0.277097, 0.395846, 0.350948, 0.604154, 0.159769, 0.527384, 7083.000000, 23484.000000, 22152.000000, 2715.000000, "(Dim[i][65]-Dim[i][46])"
3, 0.462749, 0.510921, 0.486835, 0.268399, 0.513165, 0.020131, 0.528737, 4792.000000, 21118.000000, 24518.000000, 5006.000000, "protected_div(Dim[i][75], Dim[i][121])"
4, 0.463012, 0.510614, 0.486813, 0.268454, 0.513187, 0.020163, 0.528575, 4795.000000, 21130.000000, 24506.000000, 5003.000000, "(protected_div(Dim[i][15], Dim[i][121]))"
5, 0.514594, 0.277097, 0.395846, 0.350948, 0.604154, 0.159769, 0.527384, 7083.000000, 23484.000000, 22152.000000, 2715.000000, "(Dim[i][65]-Dim[i][46])"
6, 0.513169, 0.277097, 0.395133, 0.351514, 0.604867, 0.160823, 0.528556, 7083.000000, 23419.000000, 22217.000000, 2715.000000, "protected_div(Dim[i][32], protected_div(Dim[i][34], (Dim[i][65]-Dim[i][46])))"
7, 0.463012, 0.510614, 0.486813, 0.268454, 0.513187, 0.020163, 0.528575, 4795.000000, 21130.000000, 24506.000000, 5003.000000, "protected_div(Dim[i][15], Dim[i][121])"
8, 0.513169, 0.277097, 0.395133, 0.351514, 0.604867, 0.160823, 0.528556, 7083.000000, 23419.000000, 22217.000000, 2715.000000, "protected_div(Dim[i][32], protected_div(Dim[i][34], (Dim[i][65]-Dim[i][46])))"
9, 0.356057, 0.579302, 0.467679, 0.273261, 0.532321, 0.051145, 0.604485, 4122.000000, 16249.000000, 29387.000000, 5676.000000, "protected_div(Dim[i][65], (sin(Dim[i][53])-Dim[i][41]))"
10, 0.513169, 0.277097, 0.395133, 0.351514, 0.604867, 0.160823, 0.528556, 7083.000000, 23419.000000, 22217.000000, 2715.000000, "protected_div(Dim[i][32], protected_div(Dim[i][34], (Dim[i][65]-Dim[i][46])))"
11, 0.526646, 0.230353, 0.378499, 0.364537, 0.621501, 0.187212, 0.525724, 7541.000000, 24034.000000, 21602.000000, 2257.000000, "(sin(protected_log(Dim[i][33])))"
12, 0.526646, 0.230353, 0.378499, 0.364537, 0.621501, 0.187212, 0.525724, 7541.000000, 24034.000000, 21602.000000, 2257.000000, "(sin(protected_log(Dim[i][33])))"
13, 0.527522, 0.229741, 0.378631, 0.364422, 0.621369, 0.187053, 0.525111, 7547.000000, 24074.000000, 21562.000000, 2251.000000, "sin(protected_log(Dim[i][63]))"
14, 0.473530, 0.301694, 0.387612, 0.357752, 0.612388, 0.171545, 0.556842, 6842.000000, 21610.000000, 24026.000000, 2956.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))*Dim[i][90])"
15, 0.438974, 0.345377, 0.392175, 0.353925, 0.607825, 0.164695, 0.577570, 6414.000000, 20033.000000, 25603.000000, 3384.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))-Dim[i][87])"
16, 0.438974, 0.345377, 0.392175, 0.353925, 0.607825, 0.164695, 0.577570, 6414.000000, 20033.000000, 25603.000000, 3384.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))-Dim[i][87])"
17, 0.438974, 0.345377, 0.392175, 0.353925, 0.607825, 0.164695, 0.577570, 6414.000000, 20033.000000, 25603.000000, 3384.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))-Dim[i][87])"
18, 0.468490, 0.305981, 0.387235, 0.358102, 0.612765, 0.172084, 0.560234, 6800.000000, 21380.000000, 24256.000000, 2998.000000, "(Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][34], Dim[i][73])), protected_log((Dim[i][65]-Dim[i][46]))))"
19, 0.490841, 0.261992, 0.376416, 0.366786, 0.623584, 0.189019, 0.549609, 7231.000000, 22400.000000, 23236.000000, 2567.000000, "(protected_div(Dim[i][105], (sin(protected_log(Dim[i][33])))))"
20, 0.492221, 0.257093, 0.374657, 0.368184, 0.625343, 0.191764, 0.549338, 7279.000000, 22463.000000, 23173.000000, 2519.000000, "(protected_div(Dim[i][15], sin(protected_log(Dim[i][33]))))"
21, 0.394294, 0.367728, 0.381011, 0.364551, 0.618989, 0.183046, 0.610402, 6195.000000, 17994.000000, 27642.000000, 3603.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))-protected_log(Dim[i][46]))"
22, 0.394294, 0.367728, 0.381011, 0.364551, 0.618989, 0.183046, 0.610402, 6195.000000, 17994.000000, 27642.000000, 3603.000000, "(protected_sqrt((Dim[i][65]-Dim[i][46]))-protected_log(Dim[i][46]))"
23, 0.492221, 0.257093, 0.374657, 0.368184, 0.625343, 0.191764, 0.549338, 7279.000000, 22463.000000, 23173.000000, 2519.000000, "(protected_div(Dim[i][15], sin(protected_log(Dim[i][33]))))"
24, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
25, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
26, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
27, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
28, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
29, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
30, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
31, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
32, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
33, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
34, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
35, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
36, 0.361359, 0.340886, 0.351123, 0.394418, 0.648877, 0.230599, 0.642259, 6458.000000, 16491.000000, 29145.000000, 3340.000000, "protected_div(Dim[i][73], protected_log((Dim[i][0]*protected_div(Dim[i][33], tanh(protected_div(protected_log(Dim[i][23]), ifLessThan(Dim[i][33], protected_div(Dim[i][73], protected_log((Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][38], Dim[i][7])), protected_div(Dim[i][76], (Dim[i][65]-Dim[i][91])))))), Dim[i][18], (ifLessThan(protected_sqrt(Dim[i][25]), Dim[i][34], (Dim[i][74]*Dim[i][0]), Dim[i][52])))))))))"
37, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
38, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
39, 0.349571, 0.356297, 0.352934, 0.393474, 0.647066, 0.228878, 0.649241, 6307.000000, 15953.000000, 29683.000000, 3491.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][91])))))"
40, 0.346196, 0.334966, 0.340581, 0.405817, 0.659419, 0.248002, 0.655789, 6516.000000, 15799.000000, 29837.000000, 3282.000000, "(sin(protected_log(protected_div(protected_log(Dim[i][23]), (Dim[i][65]-Dim[i][31])))))"
41, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
42, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
43, 0.356911, 0.322107, 0.339509, 0.405891, 0.660491, 0.248618, 0.649241, 6642.000000, 16288.000000, 29348.000000, 3156.000000, "protected_div(Dim[i][100], protected_log((Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][38], Dim[i][7])), protected_div(protected_div(Dim[i][76], (Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][38], Dim[i][7])), protected_div(Dim[i][1], Dim[i][80])))), Dim[i][18])))))"
44, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
45, 0.359694, 0.316901, 0.338298, 0.406795, 0.661702, 0.250214, 0.647870, 6693.000000, 16415.000000, 29221.000000, 3105.000000, "(protected_log(protected_log((Dim[i][32]*protected_abs((Dim[i][41]*Dim[i][83]))))))"
