Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.495963, 0.485425, 0.490694, 0.272795, 0.509306, 0.014304, 0.505935, 5137.000000, 22542.000000, 22909.000000, 4846.000000, "ifLessThan(Dim[i][79], (Dim[i][122]), Dim[i][119], protected_log(protected_div((Dim[i][96]), Dim[i][121])))"
1, 0.464302, 0.498748, 0.481525, 0.277307, 0.518475, 0.028445, 0.529495, 5004.000000, 21103.000000, 24348.000000, 4979.000000, "protected_div(protected_sqrt((Dim[i][121])), Dim[i][0])"
2, 0.495963, 0.485425, 0.490694, 0.272795, 0.509306, 0.014304, 0.505935, 5137.000000, 22542.000000, 22909.000000, 4846.000000, "ifLessThan(Dim[i][79], (Dim[i][122]), Dim[i][119], protected_log(protected_div((Dim[i][96]), Dim[i][121])))"
3, 0.571671, 0.368627, 0.470149, 0.298233, 0.529851, 0.046519, 0.464895, 6303.000000, 25983.000000, 19468.000000, 3680.000000, "(Dim[i][0]-Dim[i][30])"
4, 0.634926, 0.257638, 0.446282, 0.320462, 0.553718, 0.086802, 0.433019, 7411.000000, 28858.000000, 16593.000000, 2572.000000, "(Dim[i][0]-Dim[i][15])"
5, 0.571671, 0.368627, 0.470149, 0.298233, 0.529851, 0.046519, 0.464895, 6303.000000, 25983.000000, 19468.000000, 3680.000000, "(Dim[i][0]-Dim[i][30])"
6, 0.625157, 0.205950, 0.415553, 0.342242, 0.584447, 0.136577, 0.450337, 7927.000000, 28414.000000, 17037.000000, 2056.000000, "protected_div(tanh(protected_sqrt(Dim[i][90])), ifLessThan(Dim[i][76], Dim[i][50], Dim[i][42], protected_log(Dim[i][117])))"
7, 0.390750, 0.394771, 0.392761, 0.357674, 0.607239, 0.166501, 0.608525, 6042.000000, 17760.000000, 27691.000000, 3941.000000, "protected_log((Dim[i][87]+protected_sqrt(Dim[i][0])))"
8, 0.390750, 0.394771, 0.392761, 0.357674, 0.607239, 0.166501, 0.608525, 6042.000000, 17760.000000, 27691.000000, 3941.000000, "protected_log((Dim[i][87]+protected_sqrt(Dim[i][0])))"
9, 0.390750, 0.394771, 0.392761, 0.357674, 0.607239, 0.166501, 0.608525, 6042.000000, 17760.000000, 27691.000000, 3941.000000, "protected_log((Dim[i][87]+protected_sqrt(Dim[i][0])))"
10, 0.390750, 0.394771, 0.392761, 0.357674, 0.607239, 0.166501, 0.608525, 6042.000000, 17760.000000, 27691.000000, 3941.000000, "protected_log((Dim[i][87]+protected_sqrt(Dim[i][0])))"
11, 0.318079, 0.432034, 0.375057, 0.376619, 0.624943, 0.199676, 0.661399, 5670.000000, 14457.000000, 30994.000000, 4313.000000, "protected_div(ifLessThan(Dim[i][88], Dim[i][122], Dim[i][119], protected_log(protected_div(protected_sqrt(Dim[i][80]), Dim[i][113]))), Dim[i][75])"
12, 0.318079, 0.432034, 0.375057, 0.376619, 0.624943, 0.199676, 0.661399, 5670.000000, 14457.000000, 30994.000000, 4313.000000, "protected_div(ifLessThan(Dim[i][88], Dim[i][122], Dim[i][119], protected_log(protected_div(protected_sqrt(Dim[i][80]), Dim[i][113]))), Dim[i][75])"
13, 0.385074, 0.371632, 0.378353, 0.371645, 0.621647, 0.188897, 0.617347, 6273.000000, 17502.000000, 27949.000000, 3710.000000, "protected_log(protected_log((protected_div(Dim[i][35], (ifLessThan(Dim[i][91], Dim[i][45], Dim[i][9], Dim[i][38])*Dim[i][115])))))"
14, 0.312644, 0.436342, 0.374493, 0.377398, 0.625507, 0.201213, 0.665079, 5627.000000, 14210.000000, 31241.000000, 4356.000000, "protected_div(tanh(protected_sqrt(protected_log(protected_div(protected_sqrt(Dim[i][80]), Dim[i][113])))), Dim[i][75])"
15, 0.372027, 0.371632, 0.371829, 0.378290, 0.628171, 0.199695, 0.628044, 6273.000000, 16909.000000, 28542.000000, 3710.000000, "protected_log((protected_div(Dim[i][35], protected_log(protected_log((protected_div(Dim[i][35], (ifLessThan(Dim[i][91], Dim[i][45], Dim[i][9], Dim[i][38])*Dim[i][115]))))))))"
