Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.486497, 0.459587, 0.473042, 0.266477, 0.526958, 0.039738, 0.517864, 5155.000000, 23996.000000, 25328.000000, 4384.000000, "protected_div(Dim[i][112], ifLessThan(Dim[i][24], Dim[i][46], Dim[i][121], Dim[i][71]))"
1, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
2, 0.516422, 0.447531, 0.481977, 0.261662, 0.518023, 0.026593, 0.494742, 5270.000000, 25472.000000, 23852.000000, 4269.000000, "(Dim[i][121]*Dim[i][16])"
3, 0.571040, 0.213335, 0.392188, 0.331969, 0.607812, 0.162611, 0.486927, 7504.000000, 28166.000000, 21158.000000, 2035.000000, "protected_log(ifLessThan(ifLessThan(Dim[i][78], Dim[i][47], Dim[i][103], (ifLessThan(Dim[i][88], Dim[i][119], Dim[i][119], Dim[i][51]))), Dim[i][115], ((Dim[i][75]*ifLessThan(Dim[i][81], Dim[i][72], Dim[i][113], Dim[i][81]))-protected_abs(Dim[i][10])), (Dim[i][88]*Dim[i][68])))"
4, 0.571040, 0.213544, 0.392292, 0.331896, 0.607708, 0.162450, 0.486893, 7502.000000, 28166.000000, 21158.000000, 2037.000000, "protected_log(ifLessThan(ifLessThan(Dim[i][78], Dim[i][47], Dim[i][103], (ifLessThan(Dim[i][88], Dim[i][119], Dim[i][119], Dim[i][51]))), Dim[i][115], ((Dim[i][75]*ifLessThan(Dim[i][81], Dim[i][72], Dim[i][113], Dim[i][81]))-protected_abs(Dim[i][10])), (Dim[i][85]*Dim[i][0])))"
5, 0.477131, 0.463151, 0.470141, 0.268157, 0.529859, 0.044028, 0.525135, 5121.000000, 23534.000000, 25790.000000, 4418.000000, "protected_div(Dim[i][15], protected_div(Dim[i][112], ifLessThan(Dim[i][24], Dim[i][46], Dim[i][121], Dim[i][71])))"
6, 0.571040, 0.213335, 0.392188, 0.331969, 0.607812, 0.162611, 0.486927, 7504.000000, 28166.000000, 21158.000000, 2035.000000, "protected_log(ifLessThan(ifLessThan(Dim[i][78], Dim[i][47], Dim[i][103], (ifLessThan(Dim[i][88], Dim[i][119], Dim[i][119], Dim[i][51]))), Dim[i][115], ((Dim[i][75]*ifLessThan(Dim[i][81], Dim[i][72], Dim[i][113], Dim[i][81]))-protected_abs(Dim[i][10])), (Dim[i][88]*Dim[i][68])))"
7, 0.571040, 0.213544, 0.392292, 0.331896, 0.607708, 0.162450, 0.486893, 7502.000000, 28166.000000, 21158.000000, 2037.000000, "protected_log(ifLessThan(ifLessThan(Dim[i][78], Dim[i][47], Dim[i][103], (ifLessThan(Dim[i][88], Dim[i][119], Dim[i][119], Dim[i][51]))), Dim[i][115], ((Dim[i][75]*ifLessThan(Dim[i][81], Dim[i][72], Dim[i][113], Dim[i][81]))-protected_abs(Dim[i][10])), (Dim[i][88]*ifLessThan((Dim[i][24]), Dim[i][46], Dim[i][75], Dim[i][26]))))"
8, 0.487511, 0.459587, 0.473549, 0.266133, 0.526451, 0.038990, 0.517014, 5155.000000, 24046.000000, 25278.000000, 4384.000000, "protected_div(Dim[i][112], ifLessThan(Dim[i][24], Dim[i][46], Dim[i][121], ((Dim[i][23]-Dim[i][49])-(protected_div(ifLessThan(Dim[i][94], (Dim[i][43]), Dim[i][52], Dim[i][31]), Dim[i][19])))))"
9, 0.462250, 0.474683, 0.468466, 0.268327, 0.531534, 0.046551, 0.535736, 5011.000000, 22800.000000, 26524.000000, 4528.000000, "(Dim[i][20]-Dim[i][65])"
