Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.492680, 0.432754, 0.462717, 0.240774, 0.537283, 0.051035, 0.515437, 4146.000000, 22984.000000, 23667.000000, 3163.000000, "protected_div(Dim[i][66], Dim[i][121])"
1, 0.491779, 0.432891, 0.462335, 0.241016, 0.537665, 0.051557, 0.516197, 4145.000000, 22942.000000, 23709.000000, 3164.000000, "protected_div(Dim[i][54], Dim[i][121])"
2, 0.492765, 0.432754, 0.462760, 0.240746, 0.537240, 0.050976, 0.515363, 4146.000000, 22988.000000, 23663.000000, 3163.000000, "Dim[i][121]"
3, 0.492765, 0.432754, 0.462760, 0.240746, 0.537240, 0.050976, 0.515363, 4146.000000, 22988.000000, 23663.000000, 3163.000000, "Dim[i][121]"
4, 0.440634, 0.442468, 0.441551, 0.255166, 0.558449, 0.080311, 0.559118, 4075.000000, 20556.000000, 26095.000000, 3234.000000, "(sin(protected_div(Dim[i][45], Dim[i][121])))"
5, 0.661915, 0.127924, 0.394920, 0.286073, 0.605080, 0.155554, 0.410415, 6374.000000, 30879.000000, 15772.000000, 935.000000, "sin(Dim[i][52])"
6, 0.440634, 0.442468, 0.441551, 0.255166, 0.558449, 0.080311, 0.559118, 4075.000000, 20556.000000, 26095.000000, 3234.000000, "(sin(protected_div(Dim[i][45], Dim[i][121])))"
7, 0.661915, 0.127924, 0.394920, 0.286073, 0.605080, 0.155554, 0.410415, 6374.000000, 30879.000000, 15772.000000, 935.000000, "sin(Dim[i][52])"
8, 0.440634, 0.442468, 0.441551, 0.255166, 0.558449, 0.080311, 0.559118, 4075.000000, 20556.000000, 26095.000000, 3234.000000, "protected_div(Dim[i][45], Dim[i][121])"
9, 0.440634, 0.442468, 0.441551, 0.255166, 0.558449, 0.080311, 0.559118, 4075.000000, 20556.000000, 26095.000000, 3234.000000, "protected_div(Dim[i][45], Dim[i][121])"
10, 0.440591, 0.442468, 0.441529, 0.255182, 0.558471, 0.080341, 0.559155, 4075.000000, 20554.000000, 26097.000000, 3234.000000, "protected_div(protected_div(Dim[i][45], Dim[i][121]), Dim[i][90])"
