Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.523877, 0.445564, 0.484720, 0.225052, 0.515280, 0.020882, 0.486652, 4568.000000, 27788.000000, 25255.000000, 3671.000000, "(Dim[i][121])"
1, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "tanh(sin(Dim[i][53]))"
2, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "tanh(sin(Dim[i][53]))"
3, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "tanh(sin(Dim[i][53]))"
4, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "sin(Dim[i][53])"
5, 0.247309, 0.641704, 0.444506, 0.242873, 0.555494, 0.086077, 0.699667, 2952.000000, 13118.000000, 39925.000000, 5287.000000, "sin(Dim[i][53])"
6, 0.196312, 0.647894, 0.422103, 0.269197, 0.577897, 0.128875, 0.742975, 2901.000000, 10413.000000, 42630.000000, 5338.000000, "(Dim[i][0]*sin(Dim[i][53]))"
7, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin(Dim[i][8])"
8, 0.196312, 0.647894, 0.422103, 0.269197, 0.577897, 0.128875, 0.742975, 2901.000000, 10413.000000, 42630.000000, 5338.000000, "(Dim[i][0]*sin(Dim[i][53]))"
9, 0.317403, 0.451632, 0.384518, 0.305342, 0.615482, 0.165355, 0.664551, 4518.000000, 16836.000000, 36207.000000, 3721.000000, "(sin(Dim[i][52])-Dim[i][47])"
10, 0.677300, 0.094429, 0.385864, 0.289040, 0.614136, 0.171261, 0.401064, 7461.000000, 35926.000000, 17117.000000, 778.000000, "(Dim[i][0]*sin(Dim[i][22]))"
11, 0.194503, 0.518995, 0.356749, 0.351969, 0.643251, 0.231184, 0.761871, 3963.000000, 10317.000000, 42726.000000, 4276.000000, "(sin(Dim[i][52])-tanh(Dim[i][122]))"
12, 0.317403, 0.451632, 0.384518, 0.305342, 0.615482, 0.165355, 0.664551, 4518.000000, 16836.000000, 36207.000000, 3721.000000, "(sin(Dim[i][52])-Dim[i][47])"
