Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
1, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "(Dim[i][121])"
2, 0.516483, 0.447531, 0.482007, 0.261642, 0.517993, 0.026548, 0.494691, 5270.000000, 25475.000000, 23849.000000, 4269.000000, "protected_div((Dim[i][4]), protected_div(Dim[i][121], Dim[i][113]))"
3, 0.516483, 0.447531, 0.482007, 0.261642, 0.517993, 0.026548, 0.494691, 5270.000000, 25475.000000, 23849.000000, 4269.000000, "protected_div((Dim[i][4]), protected_div(Dim[i][121], Dim[i][113]))"
4, 0.519058, 0.178425, 0.348742, 0.364698, 0.651258, 0.225051, 0.536143, 7837.000000, 25602.000000, 23722.000000, 1702.000000, "sin(protected_log(Dim[i][63]))"
5, 0.490471, 0.454345, 0.472408, 0.267362, 0.527592, 0.040670, 0.515383, 5205.000000, 24192.000000, 25132.000000, 4334.000000, "protected_div((Dim[i][90]), Dim[i][121])"
6, 0.516706, 0.447531, 0.482119, 0.261571, 0.517881, 0.026384, 0.494504, 5270.000000, 25486.000000, 23838.000000, 4269.000000, "protected_div(protected_div(Dim[i][121], (ifLessThan(Dim[i][1], tanh(Dim[i][31]), protected_sqrt(Dim[i][121]), Dim[i][23]))), Dim[i][53])"
7, 0.490471, 0.454345, 0.472408, 0.267362, 0.527592, 0.040670, 0.515383, 5205.000000, 24192.000000, 25132.000000, 4334.000000, "protected_div((Dim[i][90]), Dim[i][121])"
8, 0.490471, 0.454345, 0.472408, 0.267362, 0.527592, 0.040670, 0.515383, 5205.000000, 24192.000000, 25132.000000, 4334.000000, "protected_div((Dim[i][90]), Dim[i][121])"
9, 0.544400, 0.324982, 0.434691, 0.300677, 0.565309, 0.097104, 0.491157, 6439.000000, 26852.000000, 22472.000000, 3100.000000, "protected_div(Dim[i][105], (Dim[i][105]-protected_div(Dim[i][121], protected_div(Dim[i][36], ifLessThan(sin(Dim[i][37]), Dim[i][6], Dim[i][112], Dim[i][15])))))"
10, 0.490471, 0.454345, 0.472408, 0.267362, 0.527592, 0.040670, 0.515383, 5205.000000, 24192.000000, 25132.000000, 4334.000000, "protected_div((Dim[i][90]), Dim[i][121])"
11, 0.574102, 0.261558, 0.417830, 0.313764, 0.582170, 0.123655, 0.476547, 7044.000000, 28317.000000, 21007.000000, 2495.000000, "(ifLessThan(protected_div(Dim[i][87], (Dim[i][34])), Dim[i][67], Dim[i][96], Dim[i][41]))"
12, 0.334077, 0.572073, 0.453075, 0.271238, 0.546925, 0.072542, 0.627355, 4082.000000, 16478.000000, 32846.000000, 5457.000000, "tanh(protected_log(protected_div(Dim[i][105], sin(Dim[i][15]))))"
13, 0.334077, 0.572073, 0.453075, 0.271238, 0.546925, 0.072542, 0.627355, 4082.000000, 16478.000000, 32846.000000, 5457.000000, "protected_log(protected_div(Dim[i][105], sin(Dim[i][15])))"
14, 0.495499, 0.335360, 0.415430, 0.314492, 0.584570, 0.124788, 0.530452, 6340.000000, 24440.000000, 24884.000000, 3199.000000, "sin(protected_div(protected_log(ifLessThan(sin(Dim[i][37]), Dim[i][67], protected_div(Dim[i][112], protected_log(Dim[i][52])), Dim[i][102])), Dim[i][116]))"
15, 0.626247, 0.267219, 0.446733, 0.294825, 0.553267, 0.081965, 0.431935, 6990.000000, 30889.000000, 18435.000000, 2549.000000, "(Dim[i][5]-protected_div(protected_div(Dim[i][87], Dim[i][28]), Dim[i][70]))"
16, 0.489701, 0.444910, 0.467306, 0.271622, 0.532694, 0.048192, 0.517558, 5295.000000, 24154.000000, 25170.000000, 4244.000000, "tanh(protected_log(protected_div(Dim[i][50], ifLessThan(Dim[i][102], Dim[i][116], Dim[i][91], (Dim[i][80])))))"
