Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.492765, 0.432754, 0.462760, 0.240746, 0.537240, 0.050976, 0.515363, 4146.000000, 22988.000000, 23663.000000, 3163.000000, "(Dim[i][121])"
1, 0.492765, 0.432754, 0.462760, 0.240746, 0.537240, 0.050976, 0.515363, 4146.000000, 22988.000000, 23663.000000, 3163.000000, "Dim[i][121]"
2, 0.373433, 0.480640, 0.427036, 0.266143, 0.572964, 0.102234, 0.612046, 3796.000000, 17421.000000, 29230.000000, 3513.000000, "protected_div(Dim[i][86], (protected_abs(Dim[i][42])-Dim[i][121]))"
3, 0.373433, 0.480640, 0.427036, 0.266143, 0.572964, 0.102234, 0.612046, 3796.000000, 17421.000000, 29230.000000, 3513.000000, "protected_div(Dim[i][86], (protected_abs(Dim[i][42])-Dim[i][121]))"
4, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
5, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
6, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
7, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
8, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
9, 0.292491, 0.500205, 0.396348, 0.296907, 0.603652, 0.152006, 0.679374, 3653.000000, 13645.000000, 33006.000000, 3656.000000, "sin(((ifLessThan(Dim[i][94], protected_log(Dim[i][60]), Dim[i][75], Dim[i][98])+Dim[i][0])+Dim[i][2]))"
