Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.603353, 0.341466, 0.472410, 0.236630, 0.527590, 0.038523, 0.431677, 5398.000000, 32029.000000, 21056.000000, 2799.000000, "ifLessThan(Dim[i][16], Dim[i][95], Dim[i][63], protected_sqrt((Dim[i][121]*Dim[i][119])))"
1, 0.603353, 0.341466, 0.472410, 0.236630, 0.527590, 0.038523, 0.431677, 5398.000000, 32029.000000, 21056.000000, 2799.000000, "ifLessThan(Dim[i][16], Dim[i][95], Dim[i][63], protected_sqrt((Dim[i][121]*Dim[i][119])))"
2, 0.486239, 0.267293, 0.376766, 0.300187, 0.623234, 0.167916, 0.543047, 6006.000000, 25812.000000, 27273.000000, 2191.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0]))"
3, 0.466328, 0.499329, 0.482828, 0.221503, 0.517172, 0.023420, 0.529258, 4104.000000, 24755.000000, 28330.000000, 4093.000000, "protected_div(Dim[i][10], protected_div(Dim[i][15], (Dim[i][106]*sin(protected_abs(((protected_sqrt(Dim[i][6]))))))))"
4, 0.489724, 0.463584, 0.476654, 0.227877, 0.523346, 0.031788, 0.513772, 4397.000000, 25997.000000, 27088.000000, 3800.000000, "(Dim[i][0]*protected_div(protected_div(Dim[i][33], protected_div(Dim[i][97], protected_sqrt(ifLessThan(Dim[i][54], ifLessThan(Dim[i][121], Dim[i][26], Dim[i][68], protected_abs(Dim[i][24])), Dim[i][38], Dim[i][52])))), (Dim[i][121])))"
5, 0.486239, 0.267293, 0.376766, 0.300187, 0.623234, 0.167916, 0.543047, 6006.000000, 25812.000000, 27273.000000, 2191.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0]))"
6, 0.486239, 0.267293, 0.376766, 0.300187, 0.623234, 0.167916, 0.543047, 6006.000000, 25812.000000, 27273.000000, 2191.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0]))"
7, 0.491777, 0.264365, 0.378071, 0.299011, 0.621929, 0.166213, 0.538641, 6030.000000, 26106.000000, 26979.000000, 2167.000000, "tanh((ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0])))"
8, 0.486239, 0.267293, 0.376766, 0.300187, 0.623234, 0.167916, 0.543047, 6006.000000, 25812.000000, 27273.000000, 2191.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0]))"
9, 0.485203, 0.267415, 0.376309, 0.300558, 0.623691, 0.168527, 0.543928, 6005.000000, 25757.000000, 27328.000000, 2192.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], protected_log(protected_abs((Dim[i][100])))))"
10, 0.485203, 0.267415, 0.376309, 0.300558, 0.623691, 0.168527, 0.543928, 6005.000000, 25757.000000, 27328.000000, 2192.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], protected_log(protected_abs((Dim[i][100])))))"
11, 0.468456, 0.286812, 0.377634, 0.300481, 0.622366, 0.166610, 0.555840, 5846.000000, 24868.000000, 28217.000000, 2351.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], ((Dim[i][97]-protected_abs(Dim[i][84]))*Dim[i][116])))"
12, 0.483489, 0.267781, 0.375635, 0.301116, 0.624365, 0.169427, 0.545364, 6002.000000, 25666.000000, 27419.000000, 2195.000000, "protected_div(protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0])), Dim[i][45])"
13, 0.453914, 0.271441, 0.362677, 0.312139, 0.637323, 0.187008, 0.570494, 5972.000000, 24096.000000, 28989.000000, 2225.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], protected_log(protected_abs((protected_log(Dim[i][85]))))))"
14, 0.483150, 0.268635, 0.375892, 0.300954, 0.624108, 0.169072, 0.545544, 5995.000000, 25648.000000, 27437.000000, 2202.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], protected_div(Dim[i][105], Dim[i][106])))"
15, 0.483489, 0.267781, 0.375635, 0.301116, 0.624365, 0.169427, 0.545364, 6002.000000, 25666.000000, 27419.000000, 2195.000000, "(Dim[i][45]*protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], Dim[i][0])))"
16, 0.453914, 0.271441, 0.362677, 0.312139, 0.637323, 0.187008, 0.570494, 5972.000000, 24096.000000, 28989.000000, 2225.000000, "protected_div(Dim[i][75], ifLessThan(Dim[i][18], Dim[i][106], Dim[i][120], protected_log(protected_abs((protected_log(Dim[i][85]))))))"
