Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.497037, 0.447757, 0.472397, 0.227133, 0.527603, 0.037199, 0.509396, 3890.000000, 23319.000000, 23597.000000, 3154.000000, "Dim[i][121]"
1, 0.449079, 0.457411, 0.453245, 0.239361, 0.546755, 0.063197, 0.549833, 3822.000000, 21069.000000, 25847.000000, 3222.000000, "protected_div(Dim[i][121], Dim[i][60])"
2, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin((protected_log(Dim[i][33])))"
3, 0.685225, 0.096394, 0.390809, 0.279430, 0.609191, 0.162765, 0.391642, 6365.000000, 32148.000000, 14768.000000, 679.000000, "(protected_sqrt(Dim[i][90])*sin(Dim[i][7]))"
4, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin((protected_log(Dim[i][33])))"
5, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin((protected_log(Dim[i][33])))"
6, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin((protected_log(Dim[i][33])))"
7, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin((protected_log(Dim[i][33])))"
8, 0.398606, 0.474872, 0.436739, 0.251257, 0.563261, 0.086505, 0.591438, 3699.000000, 18701.000000, 28215.000000, 3345.000000, "protected_log((ifLessThan(Dim[i][76], Dim[i][80], Dim[i][110], Dim[i][106])*Dim[i][88]))"
9, 0.166063, 0.636286, 0.401174, 0.294534, 0.598826, 0.169106, 0.772554, 2562.000000, 7791.000000, 39125.000000, 4482.000000, "sin(sin((protected_log(Dim[i][33]))))"
10, 0.118936, 0.654174, 0.386555, 0.323506, 0.613445, 0.214928, 0.811193, 2436.000000, 5580.000000, 41336.000000, 4608.000000, "(protected_sqrt(Dim[i][45])*sin((protected_log(Dim[i][33]))))"
11, 0.575944, 0.145798, 0.360871, 0.300235, 0.639129, 0.192402, 0.480208, 6017.000000, 27021.000000, 19895.000000, 1027.000000, "(protected_sqrt(Dim[i][90])*sin(Dim[i][52]))"
12, 0.398244, 0.307780, 0.353012, 0.318651, 0.646988, 0.199691, 0.613566, 4876.000000, 18684.000000, 28232.000000, 2168.000000, "(protected_log((ifLessThan(Dim[i][76], Dim[i][80], Dim[i][106], (Dim[i][92]))*Dim[i][74]))+sin(Dim[i][72]))"
13, 0.398244, 0.307780, 0.353012, 0.318651, 0.646988, 0.199691, 0.613566, 4876.000000, 18684.000000, 28232.000000, 2168.000000, "(protected_log((ifLessThan(Dim[i][76], Dim[i][80], Dim[i][106], (Dim[i][92]))*Dim[i][74]))+sin(Dim[i][72]))"
