Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.521029, 0.435149, 0.478089, 0.266991, 0.521911, 0.032462, 0.493009, 5435.000000, 25656.000000, 23585.000000, 4187.000000, "protected_div(sin(Dim[i][121]), Dim[i][55])"
1, 0.521029, 0.435149, 0.478089, 0.266991, 0.521911, 0.032462, 0.493009, 5435.000000, 25656.000000, 23585.000000, 4187.000000, "protected_div(sin(Dim[i][121]), Dim[i][55])"
2, 0.521029, 0.435149, 0.478089, 0.266991, 0.521911, 0.032462, 0.493009, 5435.000000, 25656.000000, 23585.000000, 4187.000000, "protected_div(sin(Dim[i][121]), Dim[i][55])"
3, 0.497675, 0.443151, 0.470413, 0.271387, 0.529587, 0.043769, 0.511238, 5358.000000, 24506.000000, 24735.000000, 4264.000000, "protected_div(Dim[i][121], Dim[i][0])"
4, 0.510266, 0.442528, 0.476397, 0.267451, 0.523603, 0.034936, 0.500807, 5364.000000, 25126.000000, 24115.000000, 4258.000000, "(protected_log(((Dim[i][92])))+protected_div(Dim[i][121], Dim[i][118]))"
5, 0.495766, 0.444398, 0.470082, 0.271508, 0.529918, 0.044256, 0.512631, 5346.000000, 24412.000000, 24829.000000, 4276.000000, "(protected_div(Dim[i][23], Dim[i][90])*Dim[i][121])"
6, 0.495766, 0.444398, 0.470082, 0.271508, 0.529918, 0.044256, 0.512631, 5346.000000, 24412.000000, 24829.000000, 4276.000000, "(protected_div(Dim[i][23], Dim[i][90])*Dim[i][121])"
7, 0.497675, 0.443151, 0.470413, 0.271387, 0.529587, 0.043769, 0.511238, 5358.000000, 24506.000000, 24735.000000, 4264.000000, "protected_div(Dim[i][121], Dim[i][0])"
8, 0.517455, 0.191540, 0.354498, 0.362818, 0.645502, 0.217064, 0.535820, 7779.000000, 25480.000000, 23761.000000, 1843.000000, "sin(protected_log(Dim[i][48]))"
9, 0.523019, 0.269591, 0.396305, 0.331478, 0.603695, 0.154385, 0.518407, 7028.000000, 25754.000000, 23487.000000, 2594.000000, "(protected_log(((Dim[i][92])))+protected_div(protected_log(Dim[i][38]), Dim[i][54]))"
10, 0.419711, 0.412596, 0.416154, 0.314515, 0.583846, 0.124721, 0.581452, 5652.000000, 20667.000000, 28574.000000, 3970.000000, "protected_log(((((Dim[i][97]))*Dim[i][19])))"
11, 0.502833, 0.308875, 0.405854, 0.324137, 0.594146, 0.139572, 0.528872, 6650.000000, 24760.000000, 24481.000000, 2972.000000, "(protected_log(((Dim[i][92])))+protected_div(Dim[i][25], ifLessThan((protected_sqrt(Dim[i][0])), Dim[i][14], (Dim[i][43]+Dim[i][16]), Dim[i][57])))"
12, 0.517455, 0.191540, 0.354498, 0.362818, 0.645502, 0.217064, 0.535820, 7779.000000, 25480.000000, 23761.000000, 1843.000000, "sin(protected_log(Dim[i][48]))"
13, 0.517455, 0.191540, 0.354498, 0.362818, 0.645502, 0.217064, 0.535820, 7779.000000, 25480.000000, 23761.000000, 1843.000000, "sin(protected_log(Dim[i][48]))"
